Church name,Address,Community
American Martyrs,624 15th St. 33°53′20″N 118°24′24″W / 33.88889°N 118.40667°W / 33.88889 ; -118.40667 ( American Martyrs ),Manhattan Beach
Holy Family,1011 East ' L ' St. 33°47′14″N 118°15′00″W / 33.78722°N 118.25000°W / 33.78722 ; -118.25000 ( Holy Family ),Wilmington ( Los Angeles )
Holy Trinity,209 North Hanford St. 33°44′40″N 118°18′08″W / 33.74444°N 118.30222°W / 33.74444 ; -118.30222 ( Holy Trinity ),San Pedro ( Los Angeles )
Mary Star of the Sea,870 W. 8th St. 33°44′13″N 118°17′45″W / 33.73694°N 118.29583°W / 33.73694 ; -118.29583 ( Mary Star of the Sea ),San Pedro ( Los Angeles )
Our Lady of Guadalupe,320 Massey St. 33°51′32″N 118°23′08″W / 33.85889°N 118.38556°W / 33.85889 ; -118.38556 ( Our Lady of Guadalupe ),Hermosa Beach
SS . Peter and Paul 's,515 West Opp St. 33°46′58″N 118°16′04″W / 33.78278°N 118.26778°W / 33.78278 ; -118.26778 ( SS . Peter and Paul 's ),Wilmington ( Los Angeles )
St. Andrew ( Russian-Greek Church ),538 Concord St. 33°55′24″N 118°25′04″W / 33.92333°N 118.41778°W / 33.92333 ; -118.41778 ( St. Andrew ),El Segundo
St. Anthony,710 East Grand Ave. 33°55′09″N 118°24′29″W / 33.91917°N 118.40806°W / 33.91917 ; -118.40806 ( St. Anthony ),El Segundo
St. Anthony of Padua,1050 West 163rd St. 33°52′59″N 118°17′35″W / 33.88306°N 118.29306°W / 33.88306 ; -118.29306 ( St. Anthony of Padua ),Gardena
St. Catherine Laboure,3846 W. Redondo Beach Blvd . 33°52′42″N 118°20′23″W / 33.87833°N 118.33972°W / 33.87833 ; -118.33972 ( St. Catherine Laboure ),Torrance
Nativity,1447 Engracia Ave. 33°50′01″N 118°19′19″W / 33.83361°N 118.32194°W / 33.83361 ; -118.32194 ( Nativity ),Torrance
St. Catherine of Alexandria,800 Beacon St,Avalon
St. James,415 Vincent St. 33°50′37″N 118°23′13″W / 33.84361°N 118.38694°W / 33.84361 ; -118.38694 ( St. James ),Redondo Beach
St. John Fisher,5448 Crest Rd . 33°45′47″N 118°22′00″W / 33.76306°N 118.36667°W / 33.76306 ; -118.36667 ( St. John Fisher ),Rancho Palos Verdes
St. Joseph,11901 S. Acacia Ave. 33°55′30″N 118°21′05″W / 33.92500°N 118.35139°W / 33.92500 ; -118.35139 ( St. Joseph ),Hawthorne
St. Lawrence Martyr,1900 Prospect Ave. 33°49′04″N 118°22′35″W / 33.81778°N 118.37639°W / 33.81778 ; -118.37639 ( St. Lawrence Martyr ),Redondo Beach
St. Margaret Mary Alacoque,25511 Eshelman Ave. 33°47′29″N 118°18′54″W / 33.79139°N 118.31500°W / 33.79139 ; -118.31500 ( St. Margaret Mary Alacoque ),Lomita
St. Paul Melkite ( Greek Mission ),538 Concord St. 33°55′24″N 118°25′04″W / 33.92333°N 118.41778°W / 33.92333 ; -118.41778 ( St. Paul Melkite ),El Segundo
St. Peter,338 North Grand Ave. 33°44′44″N 118°17′23″W / 33.74556°N 118.28972°W / 33.74556 ; -118.28972 ( St. Peter ),San Pedro ( Los Angeles )
St. Philomena,21900 S. Main St. 33°49′41″N 118°16′37″W / 33.82806°N 118.27694°W / 33.82806 ; -118.27694 ( St. Philomena ),Carson
