Team,City,Stadium
Anse Réunion FC,"Anse Réunion , La Digue",La Digue Playing Fields
Côte d'Or FC,"Grand'Anse Praslin , Praslin",Stade dAmitié
Foresters,"Mont Fleuri , Mahé",Mont Fleuri
La Passe FC,La Digue,La Passe Ground
Light Stars FC,"Grand'Anse Praslin , Praslin",Stade dAmitié
The Lions FC,"Cascade , Mahé",Stade Linité
Northern Dynamo FC,"Glacis , Mahé",Glacis
Revengers FC,"Grand'Anse Praslin , Praslin",Stade dAmitié
Red Star Defence Forces,"Victoria , Mahé",Military Filed
Saint John Bosco,"Pointe La Rue , Mahé",Ground
St Louis Suns United,"Victoria , Mahé ,",Stade Linité
St Michel United FC,"Anse-aux-Pins , Mahé",Roche Caiman
