#,Name,Pos,College,GP,Seasons
75/80,Ed Ecker,OT,John Carroll,9,1952
27,Brad Edwards,S,South Carolina,64,1990-93
17,Turk Edwards,OT,Washington State,86,1932-40
48,Weldon Edwards,OT,Texas Christian,5,1948
31,Clyde Ehrhardt,C,Georgia,34,"1946 , 1948-49"
24/25,Pat Eilers,S,Notre Dame,28,1992-94
64,Mohammed Elewonibi,OT,Brigham Young,20,1991-93
85,Henry Ellard,WR,Fresno State,65,1994-98
52,Matt Elliott,C / G,Michigan,16,1992-93
69,Ed Ellis,OT,Buffalo,12,2000
48,Doug Elmore,P,Mississippi,14,1962
32,Leo Elter,RB,Vllanova,35,1955-57
-,Mickey Erickson,OL,Northwestern,9,1932
32,Ricky Ervins,RB,Southern California,62,1991-94
25,David Etherly,CB,Oregon State,3,1987
25,John Eubanks,CB,Southern Mississippi,7,2006-07
31,Charlie Evans,RB,Utah,6,1974
92,Demetric Evans,DE,Georgia,76,2004-08
27,Greg Evans,S,Texas Christian,13,1998
45,Josh Evans,S,Florida,2,2016
