Team,Outgoing manager,Manner of departure,Date of vacancy,Replaced by,Date of appointment,Position in table
Cibalia,Samir Toplak,Resigned,27 July 2012,Željko Kopić,28 July 2012,12th
NK Zagreb,Dražen Besek,Resigned,3 September 2012,Luka Bonačić,3 September 2012,12th
Zadar,Dalibor Zebić,Resigned,22 September 2012,Ferdo Milin,24 September 2012,11th
RNK Split,Tonći Bašić,Removed from position,13 October 2012,Zoran Vulić,13 October 2012,7th
NK Zagreb,Luka Bonačić,Sacked,27 October 2012,Dražen Madunović,30 October 2012,11th
NK Zagreb,Dražen Madunović,Removed from position,5 November 2012,Miroslav Blažević,5 November 2012,11th
Cibalia,Željko Kopić,Resigned,25 November 2012,Miroslav Bojko,25 November 2012,10th
Dinamo Zagreb,Ante Čačić,Sacked,26 November 2012,Krunoslav Jurčić,26 November 2012,1st
Rijeka,Elvis Scoria,Resigned,24 February 2013,Matjaž Kek,27 February 2013,5th
Slaven Belupo,Roy Ferenčina,Sacked,10 March 2013,Roman Sović,14 March 2013,6th
Inter Zaprešić,Borimir Perković,Sacked,14 March 2013,Rajko Magić,14 March 2013,12th
Hajduk Split,Mišo Krstičević,Sacked,29 April 2013,Igor Tudor,29 April 2013,4th
RNK Split,Zoran Vulić,Mutual consent,12 May 2013,Goran Sablić,13 May 2013,4th
Osijek,Stanko Mršić,Sacked,13 May 2013,Miroslav Žitnjak ( caretaker ),13 May 2013,4th
