Date,Venue,Rival,Result,Event,Scorers
10 October 2013,Budapest,Spain,1-1 ( 0-0 ),Friendly,"Mina 51 ' , Ponde 90 ' ( pen . )"
12 October 2013,Budapest,Hungary,3-3 ( 2-1 ),Friendly,"Bobál 18 ' , Martins 30 ' , Helinho 43 ' , Lopes 52 ' ( pen . ) , Németh 56 ' , Varga 90 '"
14 October 2013,Budapest,Slovakia,3-1 ( 2-0 ),Friendly,"Lopes 18 ' ( pen . ) , Leško 39 ' , Marcos Lopes 73 ' , Silva 79 '"
14 November 2013,Tondela,Luxembourg,3-0 ( 2-0 ),EC-Qualification,"Silva ( 2 ) 7 ' , 45 ' , Rodrigues 70 ' ( pen . )"
16 November 2013,Viseu,San Marino,6-0 ( 3-0 ),EC-Qualification,"Ponde ( 3 ) 17 ' , 35 ' , 76 ' , Martins 32 ' , Santos 63 ' , Rafa 81 '"
19 November 2013,Viseu,Norway,3:2 ( 2:0 ),EC-Qualification,"Guzzo ( 2 ) 41 ' , 52 ' , Rodrigues 45 ' , Sörloth 47 ' , Vajebah Sakor 90 '"
6 February 2014,La Manga Club,Denmark,3-0 ( 0-0 ),Friendly,"Andersen 46 ' ( o.g . ) , Martins 79 ' , Palhinha 79 '"
8 February 2014,La Manga Club,Poland,1-1 ( 0-0 ),Friendly,"Ponde 72 ' , Formella 85 '"
10 February 2014,La Manga Club,Norway,1-0 ( 0-0 ),Friendly,Ponde 87 ' ( pen . )
19 March 2014,Rio Maior,Qatar,1-0 ( 1-0 ),Friendly,Silva 23 '
16 April 2014,Maia,Georgia,4-1 ( 3-0 ),Friendly,"Martins 33 ' , Ramos 35 ' , Rodrigues 40 ' , Silva 70 ' , Kikabidze 72 '"
18 April 2014,Matosinhos,Czech Republic,3-0 ( 1-0 ),Friendly,"Martins 37 ' , Baldé 77 ' , Intima 83 '"
20 April 2014,Póvoa Varzim,Russia,4-0 ( 3-0 ),Friendly,"Duarte 14 ' , Intima 35 ' , Baldé 40 ' , Braima Candé 62 '"
23 May 2014,Matosinhos,China PR,7-1 ( 3-0 ),Friendly,"Rodrigues ( 2 ) 2 ' , 68 ' , Martins 4 ' , Ramos 8 ' , Silva ( 2 ) 48 ' , 58 ' , Liyu 69 ' , Intima 75 '"
28 May 2014,Barcelos,Greece,3-0 ( 0-0 ),EC-Qualification - Elite Round,"Rodrigues 78 ' , Santos 86 ' , Silva 90 ' ( pen . )"
30 May 2014,Matosinhos,Wales,3-2 ( 2-0 ),EC-Qualification - Elite Round,"Silva 20 ' , Lopes 33 ' , Hedges 76 ' , O'Sullivan 80 ' , Rafa 89 '"
2 June 2014,Barcelos,Belgium,3-2 ( 0-2 ),EC-Qualification - Elite Round,"Gerkens 34 ' , Schrijvers 36 ' , Silva ( 2 ) 46 ' , 56 ' , Santos 86 '"
19 July 2014,Felcsút,Israel,3-0 ( 1-0 ),European Championship - Group Stage,"Lopes ( 2 ) 39 ' , 78 ' , Silva 64 '"
22 July 2014,Felcsút,Hungary,6-1 ( 2-0 ),European Championship - Group Stage,"Rodrigues 32 ' ( pen . ) , Silva ( 4 ) 45 ' , 66 ' , 89 ' , 90+2 ' , Mervó 73 ' , Martins 75 '"
25 July 2014,Felcsút,Austria,2-1 ( 1-0 ),European Championship - Group Stage,"Podstawski 41 ' , Grillitsch 46 ' , Baldé 86 '"
