Season,Winner,Runner-up,Third
1996-97 ¹,Yelena Välbe,Stefania Belmondo,Nina Gavrilyuk
1997-98 ¹,Larisa Lazutina,Stefania Belmondo,Olga Danilova
1998-99 ¹,Kristina Šmigun,Stefania Belmondo ( 3 ),Larisa Lazutina
1999-00,not arranged,,
2000-01,not arranged,,
2001-02,not arranged,,
2002-03,not arranged,,
2003-04,Valentina Shevchenko,Gabriella Paruzzi,Kristina Šmigun
2004-05,Marit Bjørgen,Kateřina Neumannová,Kristina Šmigun ( 2 )
2005-06,Yuliya Chepalova,Kateřina Neumannová,Beckie Scott
2006-07,Virpi Kuitunen,Kateřina Neumannová ( 3 ),Aino-Kaisa Saarinen
2007-08,Virpi Kuitunen ( 2 ),Valentina Shevchenko,Justyna Kowalczyk
2008-09,Justyna Kowalczyk,Aino-Kaisa Saarinen,Marianna Longa
2009-10,Justyna Kowalczyk,Marit Bjørgen,Kristin Størmer Steira
2010-11,Justyna Kowalczyk,Marit Bjørgen,Therese Johaug
2011-12,Marit Bjørgen,Justyna Kowalczyk,Therese Johaug ( 2 )
2012-13,Justyna Kowalczyk ( 4 ),Therese Johaug,Kristin Størmer Steira ( 2 )
2013-14,Therese Johaug,Marit Bjørgen,Kerttu Niskanen
2014-15,Marit Bjørgen ( 3 ),Therese Johaug ( 2 ),Heidi Weng
2015-16,Therese Johaug,Heidi Weng,Ingvild Flugstad Østberg
