Title,First release,Developer ( s ),Platform ( s )
Blazblue : Continuum Shift Extend,"February 14 , 2012",Arc System Works,PlayStation Vita
Zero Escape : Virtue 's Last Reward,"October 23 , 2012",Chunsoft,PlayStation Vita
Muramasa Rebirth,"June 25 , 2013",Vanillaware,PlayStation Vita
Sorcery Saga : Curse of the Great Curry God,"December 10 , 2013","Compile Heart , ZeroDiv",PlayStation Vita
Mind Zero,"May 27 , 2014","Acquire , ZeroDiv",PlayStation Vita
BlazBlue : Chrono Phantasma,"June 24 , 2014",Arc System Works,PlayStation Vita
Xblaze Code : Embryo,"June 24 , 2014",Arc System Works,PlayStation Vita
Arcana Heart 3 : Love Max ! ! ! !,"September 23 , 2014",Examu,PlayStation Vita
Tokyo Twilight Ghost Hunters,"March 10 , 2015",Toybox Inc,PlayStation Vita
BlazBlue : Chrono Phantasma Extend,"July 28 , 2015",Arc System Works,PlayStation Vita
Xblaze : Lost Memories,"August 11 , 2015",Arc System Works,PlayStation Vita
Code : Realize − Guardian of Rebirth,"October 20 , 2015",Otomate,PlayStation Vita
Norn9 : Var Commons,"November 10 , 2015",Otomate,PlayStation Vita
Aegis of Earth : Protonovus Assault,"March 15 , 2016",Acquire,PlayStation Vita
Zero Escape : Zero Time Dilemma,"June 28 , 2016",Spike Chunsoft,PlayStation Vita
Shiren the Wanderer : The Tower of Fortune and the Dice of Fate,"July 26 , 2016",Spike Chunsoft,PlayStation Vita
Exist Archive : The Other Side of the Sky,"October 18 , 2016","Spike Chunsoft , tri-Ace",PlayStation Vita
Tokyo Xanadu,"June 30 , 2017",Falcom,PlayStation Vita
Under Night In-Birth Exe : Late [ st ],"July 20 , 2017","Ecole Software , French Bread",PlayStation Vita
Drive Girls,"September 8 , 2017",Tamsoft,PlayStation Vita
