Name,Country,Event,Date of violation,Banned substance ( s ) / Anti-doping rule violation,Sanction
Natalya Sadova,Russia,Discus throw,2001 2006,Caffeine Methandienone,Public warning 2 years
Darya Safonova,Russia,Sprinting,2005,Pemoline,2 years
Jan Sagedal,Norway,Shot put,1987 1992,Probenecid Methandienone,2 years 4 years
Tuğçe Şahutoğlu,Turkey,Hammer throw,2013,Stanozolol,2 years
Ali Saïdi-Sief,Algeria,Long distance,2001,Nandrolone,2 years
Jaysuma Saidy Ndure,Norway,Sprinting,2007,Cannabis,"Public warning , disqualification of results"
Pınar Saka,Turkey,Sprinting,2010,Biological passport,3 years
Mounira Al-Saleh,Syria,Sprinting,2005 2010,Stanozolol Stanozolol,2 years Life ban
Jeremias Saloj,Guatemala,Long-distance,2013,EPO,2 years
Sergio Sanchez,Spain,Long distance,2013,EPO,2 years
Leevan Sands,Bahamas,Triple jump,2006,Levmetamfetamine,6 months
Fabiane dos Santos,Brazil,Middle distance,1995 2001,Nandrolone Testosterone,4 years Life ban
Leonardo Elisiário dos Santos,Brazil,Triple jump,2009,Stanozolol,2 years
Vladimir Sasimovich,Belarus,Javelin throw,2004,Stanozolol,2 years
Lindsey Scherf,United States,Long distance,2007,Refusal to submit to doping control,1 year
Alex Schwazer,Italy,Race walking,2012 2012 2016,EPO Evading doping control Anabolic steroid,42 months 3 months 8 years
Dorian Scott,Jamaica,Shot put,2006,Cannabis,Public warning
Gregory Sedoc,Netherlands,Hurdling,2011,3 whereabouts failures,1 year
Hezekiél Sepeng,South Africa,Middle distance,2005,Norandrosterone,2 years
Mustapha Sdad,Morocco,Hurdling,2002,,3 years
