#,Event year,Season,Flag bearer,Sport
23,2018,Winter,Shiva Keshvan,Luge
22,2016,Summer,Abhinav Bindra,Shooting
21,2012,Summer,Sushil Kumar,Wrestling
20,2010,Winter,Shiva Keshvan,Luge
19,2008,Summer,Rajyavardhan Singh Rathore,Shooting
18,2006,Winter,Neha Ahuja,Alpine skiing
17,2004,Summer,Anju Bobby George,Athletics
16,2002,Winter,Shiva Keshavan,Luge
15,2000,Summer,Leander Paes,Tennis
14,1998,Winter,Shiva Keshavan,Luge
13,1996,Summer,Pargat Singh,Field hockey
12,1992,Summer,Shiny Abraham-Wilson,Athletics
11,1988,Summer,Kartar Dhillon Singh,Wrestling
10,1988,Winter,Kishor Ratna,Alpine skiing
9,1984,Summer,Zafar Iqbal,Field hockey
8,1972,Summer,D.N . Devine Jones,Boxing
7,1964,Summer,Gurbachan Singh Randhawa,Athletics
6,1956,Summer,"Balbir Singh , Sr",Field hockey
5,1952,Summer,"Balbir Singh , Sr",Field hockey
4,1948,Summer,Tallimerain Ao,Football
