Year,Work,Performing artist ( s ),Director ( s ),Producers,Nominees
2000,Band of Gypsys : Live at Fillmore East,Jimi Hendrix,Bob Smeaton,Chips Chipperfield and Neil Aspinall,Asleep at the Wheel - The Making of 'Ride With Bob ' Gloria Estefan - Do n't Stop Radiohead - Meeting People Is Easy U2 - PopMart : Live from Mexico City
2001,Gim me Some Truth : The Making of John Lennon 's Imagine Album,John Lennon,Andrew Solt,"Andrew Solt , Greg Vines , Leslie Tong , and Yoko Ono",Ella Fitzgerald - American Masters : Ella Fitzgerald - Something to Live For Willie Nelson - Teatro The Beach Boys - Endless Harmony Various artists - The Art of Piano : Great Pianists of the 20th Century
2002,Recording The Producers : A Musical Romp with Mel Brooks,Mel Brooks,Susan Froemke,Peter Gelb and Susan Froemke,Bob Marley - Rebel Music : The Bob Marley Story Freddie Mercury - Freddie Mercury : The Untold Story Moby - Play : The DVD
2003,Westway to the World,The Clash,Don Letts,N/A,Nappy Roots - The World According to Nappy 1 Giant Leap - 1 Giant Leap Various artists - Welcome to the Club : The Women of Rockabilly Robbie Williams - Live at the Albert
2004,Legend,Sam Cooke,N/A,"Mary Wharton , Mick Gochanour , and Robin Klein","Gorillaz - Phase One : Celebrity Take Down Various artists - Leonard Bernstein : Trouble in Tahiti Various artists - The American Folk Blues Festival 1962-1966 , Volume 1 Muddy Waters - American Masters : Muddy Waters : Ca n't Be Satisfied"
2005,Concert for George,Various artists,David Leland,"Jon Kamen , Olivia Harrison , and Ray Cooper",John Adams and London Symphony Orchestra - John Adams : The Death of Klinghoffer Coldplay - Coldplay Live 2003 Various artists - Martin Scorsese Presents : The Blues - A Music Journey Various artists - Tom Dowd & The Language of Music
2006,No Direction Home,Bob Dylan,Martin Scorsese,"Anthony Wall , Jeff Rosen , Margaret Bodde , Martin Scorsese , Nigel Sinclair , and Susan Lacy",R. Kelly - Trapped in the Closet Ramones - End of the Century : The Story of the Ramones Bruce Springsteen - Devils & Dust Brian Wilson - Brian Wilson Presents Smile
2007,Wings for Wheels : The Making of Born to Run,Bruce Springsteen,Thom Zimny,Thom Zimny,Terence Blanchard - Flow : Living in the Stream of Music Death Cab for Cutie - Directions Gorillaz - Demon Days : Live in Manchester Madonna - I 'm Going to Tell You a Secret
2008,The Confessions Tour,Madonna,Jonas Åkerlund,David May and Sara Martin,Dierks Bentley - Live & Loud at the Fillmore R. Kelly - Trapped in the Closet Chapters 13-22 Kenny Wayne Shepherd - 10 Days Out : Blues from the Backroads Various artists - The Songs of the New Cuban Underground
2009,Runnin ' Down a Dream,Tom Petty and the Heartbreakers,Peter Bogdanovich,George Drakoulias and Skot Bright,John Mayer - Where The Light Is : Live in Los Angeles Rihanna - Good Girl Gone Bad Live Various artists - Great Performances : Respect Yourself : The Stax Records Story The Who - Amazing Journey : The Story of The Who
2010,The Beatles Love - All Together Now,The Beatles and Cirque du Soleil,Adrian Wills,Jonathan Clyde and Martin Bolduc,"Chris Botti - In Boston Johnny Cash - Johnny Cash 's America Anita O'Day - Anita O'Day : The Life of a Jazz Singer Keith Urban - Love , Pain & The Whole Crazy World Tour Live"
2011,When You 're Strange : A Film About The Doors,The Doors,Tom DiCillo,"Dick Wolf , Jeff Jampol , John Beug , and Peter Jankowski",Blur - No Distance Left to Run Arif Mardin - The Greatest Ears in Town : The Arif Mardin Story Rush - Rush : Beyond the Lighted Stage The White Stripes - Under Great White Northern Lights
2012,Back and Forth,Foo Fighters,James Moll,James Moll and Nigel Sinclair,"Beyoncé - I Am ... World Tour Kings of Leon - Talihina Sky : The Story of Kings of Leon A Tribe Called Quest - Beats , Rhymes & Life : The Travels of a Tribe Called Quest TV on the Radio - Nine Types of Light"
2013,Big Easy Express,"Mumford & Sons , Edward Sharpe & The Magnetic Zeros , and Old Crow Medicine Show",Emmett Malloy,"Bryan Ling , Mike Luba , and Tim Lynch",Sade - Bring Me Home - Live 2011 Esperanza Spalding - Radio Music Society Tegan & Sara - Get Along U2 - From the Sky Down
2014,Live Kisses,Paul McCartney,Jonas Akerlund,,Coldplay - Live 2012 Green Day - Cuatro Ben Harper and Charlie Musselwhite - I 'm In I 'm Out and I 'm Gone : The Making of Get Up ! Mumford & Sons - The Road to Red Rocks
2015,20 Feet from Stardom,"Darlene Love , Merry Clayton , Lisa Fischer & Judith Hill",Morgan Neville,Gil Friesen and Caitlin Rogers,Beyoncé and Jay Z - On the Run Tour Coldplay - Ghost Stories Metallica - Metallica Through the Never Pink - The Truth About Love Tour : Live from Melbourne
2016,Amy,Amy Winehouse,Asif Kapadia,James Gay-Rees,"James Brown - Mr Dynamite : The Rise of James Brown Foo Fighters - Sonic Highways Nina Simone - What Happened , Miss Simone ? Roger Waters - The Wall"
2017,The Beatles : Eight Days a Week - The Touring Years,The Beatles,Ron Howard,"Brian Grazer , Ron Howard , Scott Pascucci , Nigel Sinclair",Steve Aoki - I 'll Sleep When I 'm Dead Beyoncé - Lemonade Yo-Yo Ma & The Silk Road Ensemble - The Music of Strangers Various Artists - American Saturday Night : Live from the Grand Ole Opry
