,Name on the Register,Date listed,Location,City or town
1,Bay Port Historic Commercial Fishing District,"September 22 , 1977 ( # 77000714 )",Saginaw Bay end of Lakeside Dr. and First St. 43°51′14″N 83°22′25″W / 43.853889°N 83.373611°W / 43.853889 ; -83.373611 ( Bay Port Historic Commercial Fishing District ),Bay Port
2,First Methodist Episcopal Church,"November 20 , 1987 ( # 87001963 )",4451 Second St. 43°56′22″N 82°42′59″W / 43.939444°N 82.716389°W / 43.939444 ; -82.716389 ( First Methodist Episcopal Church ),Port Hope
3,James and Jane Grice House,"November 12 , 1982 ( # 82000534 )",865 N. Huron Ave. 43°51′20″N 82°39′12″W / 43.855556°N 82.653333°W / 43.855556 ; -82.653333 ( James and Jane Grice House ),Harbor Beach
4,Grindstone City Historic District,"September 3 , 1971 ( # 71000393 )",On M-25 44°03′16″N 82°53′53″W / 44.054444°N 82.898056°W / 44.054444 ; -82.898056 ( Grindstone City Historic District ),Grindstone City
5,Harbor Beach Lighthouse,"August 4 , 1983 ( # 83000850 )",Breakwater Entrance 43°50′44″N 82°37′51″W / 43.845556°N 82.630833°W / 43.845556 ; -82.630833 ( Harbor Beach Lighthouse ),Harbor Beach
6,Herman House,"November 20 , 1987 ( # 87001974 )",4405 Main St. 43°56′27″N 82°42′46″W / 43.940833°N 82.712778°W / 43.940833 ; -82.712778 ( Herman House ),Port Hope
7,Huron City Historic District,"April 28 , 1995 ( # 95000446 )","Pioneer Dr. , Huron and Port Austin Townships 44°01′52″N 82°49′57″W / 44.031111°N 82.8325°W / 44.031111 ; -82.8325 ( Huron City Historic District )",Huron City
8,Indian Mission,"September 22 , 1972 ( # 72000620 )",590 E. Bay St. 43°43′33″N 83°26′32″W / 43.725833°N 83.442222°W / 43.725833 ; -83.442222 ( Indian Mission ),Sebewaing
9,Charles G. Learned House,"May 31 , 1984 ( # 84001400 )",8544 Lake St. 44°02′32″N 82°59′38″W / 44.042222°N 82.993889°W / 44.042222 ; -82.993889 ( Charles G. Learned House ),Port Austin
10,Isaac Leuty House,"November 20 , 1987 ( # 87001975 )",7955 School St. 43°56′26″N 82°42′54″W / 43.940556°N 82.715°W / 43.940556 ; -82.715 ( Isaac Leuty House ),Port Hope
11,Masonic Temple,"November 20 , 1987 ( # 87001962 )",4425 Main St. 43°56′28″N 82°42′48″W / 43.941111°N 82.713333°W / 43.941111 ; -82.713333 ( Masonic Temple ),Port Hope
12,Melligan Store-Agriculture Hall,"January 4 , 1988 ( # 87001965 )",4432 Main St. 43°56′30″N 82°42′46″W / 43.941667°N 82.712778°W / 43.941667 ; -82.712778 ( Melligan Store-Agriculture Hall ),Port Hope
13,Frank Murphy Birthplace,"September 22 , 1971 ( # 71000394 )",142 S. Huron St. 43°50′33″N 82°39′05″W / 43.8425°N 82.651389°W / 43.8425 ; -82.651389 ( Frank Murphy Birthplace ),Harbor Beach
14,Navigation Structures at Harbor Beach Harbor,"September 11 , 1997 ( # 97000972 )",N. Lakeshore Dr. 43°50′54″N 82°38′15″W / 43.848333°N 82.6375°W / 43.848333 ; -82.6375 ( Navigation Structures at Harbor Beach Harbor ),Harbor Beach
15,Ogilvie Building,"November 20 , 1987 ( # 87001973 )",4443 Main St. 43°56′29″N 82°42′49″W / 43.941389°N 82.713611°W / 43.941389 ; -82.713611 ( Ogilvie Building ),Port Hope
16,Pointe Aux Barques Lighthouse,"March 20 , 1973 ( # 73000949 )",East of Huron City on Light House Rd . 44°01′25″N 82°45′20″W / 44.023611°N 82.755556°W / 44.023611 ; -82.755556 ( Pointe Aux Barques Lighthouse ),Huron City
17,Port Austin Reef Light,"September 15 , 2011 ( # 11000666 )","Port Austin Reef , 2.5 miles north of Port Austin ( Port aux Barques Township ) 44°04′55″N 82°58′55″W / 44.081944°N 82.981944°W / 44.081944 ; -82.981944 ( Port Austin Reef Light )",Port Austin vicinity
18,Albert E. Sleeper House,"February 1 , 1972 ( # 72000619 )",228 W. Huron St. ( M-53 ) 43°48′06″N 83°00′16″W / 43.801667°N 83.004444°W / 43.801667 ; -83.004444 ( Albert E. Sleeper House ),Bad Axe
19,Smith-Culhane House,"September 24 , 2001 ( # 01001015 )",8569 Lake St. 44°02′35″N 82°59′41″W / 44.043056°N 82.994722°W / 44.043056 ; -82.994722 ( Smith-Culhane House ),Port Austin
20,St. John 's Lutheran Church,"November 20 , 1987 ( # 87001964 )",4527 Second St. 43°56′26″N 82°43′07″W / 43.940556°N 82.718611°W / 43.940556 ; -82.718611 ( St. John 's Lutheran Church ),Port Hope
