#,Stadium,Capacity,City,Opened,Home team
1,S. Darius and S. Girėnas Stadium,"15,315",Kaunas,2020,( under reconstruction )
2,Aukštaitija Stadium,"6,600",Panevėžys,1965,FK Panevėžys
3,ARVI Football Arena,"6,250",Marijampolė,2008,FK Sūduva
4,LFF Stadium,"5,067",Vilnius,2004,"Lithuania national football team , FK Žalgiris , FK Riteriai , FC Vytis"
5,Central stadium of Klaipėda,"4,428",Klaipėda,1925,FK Atlantas
6,Inkaras Stadium,"4,000",Kaunas,1937,
7,Savivaldybė Stadium,"4,000",Šiauliai,1962,Gintra Universitetas
8,Alytus Stadium,"3,748",Alytus,1924,DFK Dainava Alytus
9,Vytautas Stadium,"3,200",Tauragė,1987,
10,Utenis Stadium,"3,073",Utena,,FK Utenis Utena
11,Šilutė Stadium,"3,000",Šilutė,1938,FK Šilutė
12,Kėdainiai Stadium,"3,000",Kėdainiai,1955,"FK Nevėžis , FK Kėdainiai"
13,Visaginas Central Stadium,"2,882",Visaginas,,
14,Telšiai City Central Stadium,"2,500",Telšiai,,FK Džiugas Telšiai
15,Mažeikiai City Central Stadium,"2,400",Mažeikiai,1992,FK Mažeikiai
16,Gargždai Stadium,"2,323",Gargždai,1970,FK Banga Gargždai
17,Pakruojis Stadium,"2,000",Pakruojis,1989,FC Pakruojis
18,Raseiniai KKSC Stadium,"1,500",Raseiniai,,
19,Palanga City Central Stadium,"1,392",Palanga,,FK Palanga
20,Central stadium of Jonava,"1,008",Jonava,1987,FK Jonava
