Club,Location,Venue,Capacity
AIK,Stockholm,Skytteholms IP,"5,000"
Asarums IF FK,Asarum,Asarums IF,"2,500"
Assi IF,Risögrund,Billerud Korsnäs Arena,"1,500"
Borgeby FK,Bjärred,Borgeby IP,"1,000"
IF Brommapojkarna,Stockholm,Grimsta IP,"7,350"
Hammarby IF,Stockholm,Hammarby IP,"3,700"
IFK Kalmar,Kalmar,Gröndal,"12,182"
Kvarnsvedens IK,Borlänge,Ljungbergsplanen,"1,010"
Lidköpings FK,Lidköping,Framnäs IP,"2,500"
Mallbackens IF,Lysvik,Strandvallen,"2,000"
Morön BK,Skellefteå,Skogsvallen IP,"1,500"
Sundvalls,Sundvall,NP3 Arena,"8,034"
Umeå IK,Umeå,T3 Arena,"10,000"
IK Uppsala Football,Uppsala,Lötens IP,3.500
