Year,Title,Series,Network,Notes
1961,Judy Garland,Hollywood Hist-o-rama,Syndicated,"Syndicated television short covering Garland 's career through A Star is Born , glossing over any mention of Garland 's problems"
1972,Judy : Impressions of Garland,Omnibus,BBC,
1975,Judy/The Ultra Secret,60 Minutes,CBS,The Garland segment was one of two in the episode . The Ultra Secret was a segment about World War II code-breaking
1978,Judy Garland,The Hollywood Greats,BBC,
1978,Rainbow,N/A,NBC,Biopic focusing on Garland 's early years . Andrea McArdle played Garland
1985,Judy Garland : The Concert Years,Great Performances,PBS,Nominated for an Emmy award for Outstanding Informational Special
1997,Judy Garland : Beyond the Rainbow,Biography,A & E,Expanded two-hour episode
2001,Life with Judy Garland : Me and My Shadows,N/A,ABC,"Two-part biopic based on the Luft memoir . Garland as a child was played by Tammy Blanchard and Judy Davis played Garland as an adult . The mini-series was nominated for 13 Emmys , and won five , including awards to both Blanchard and Davis"
2001,Last Days of Judy Garland,E ! True Hollywood Story,E !,
2004,Judy Garland : By Myself,American Masters,PBS,Won two Emmy awards for Outstanding Picture Editing for Nonfiction Programming and Outstanding Writing for Nonfiction Programming ; nominated for three more
2019,Judy,N/A,N/A,"Theatrical film directed by Rupert Goold starring Renée Zellweger as Garland , who earned an Academy Award nomination for Best Actress"
