International market,Title,Director,Production country,Gross
China,Shaolin Temple,Chang Hsin Yen,China / Hong Kong,"CN¥160,000,000"
France,E.T . the Extra-Terrestrial,Steven Spielberg,United States,"7,881,332 admissions"
Germany,E.T . the Extra-Terrestrial,Steven Spielberg,United States,"7,666,017 admissions"
India,Vidhaata,Subhash Ghai,India,"$ 16,343,207"
Italy,E.T . the Extra-Terrestrial,Steven Spielberg,United States,"10,298,000 admissions"
Japan,The Gods Must Be Crazy,Jamie Uys,South Africa,"¥2,360,000,000"
South Korea,Dragon Lord,Jackie Chan,Hong Kong,"₩894,366,000"
Soviet Union,Sportloto-82,Leonid Gaidai,Soviet Union,"$ 19,490,000"
Spain,E.T . the Extra-Terrestrial,Steven Spielberg,United States,"7,719,932 admissions"
Taiwan,The Gods Must Be Crazy,Jamie Uys,South Africa,"NT $ 39,431,235"
United Kingdom,E.T . the Extra-Terrestrial,Steven Spielberg,United States,"£21,700,000"
