Player,Team,GP,G,A,Pts,+/-,PIM
Chris Abbott,Frisk Tigers,-,32,43,75,+21,155
Cam Abbott,Frisk Tigers,-,35,30,65,+22,158
Mats Zuccarello Aasen,Frisk Tigers,-,24,40,64,+14,48
Marcus Eriksson,Frisk Tigers,-,27,26,53,+4,94
Nathan Martz,Storhamar Dragons,-,15,37,52,+37,110
Tomi Pöllänen,Lillehammer,-,21,29,50,+11,38
Brendan Brooks,Stavanger Oilers,-,30,19,49,+12,58
Teemu Kuusisto,Furuset,-,29,20,49,-12,72
Libor Pavlis,Trondheim Black Panthers,-,24,24,48,+2,46
Fredrik Sundin,Stavanger Oilers,-,23,23,46,+9,50
