Club,No . of Titles,Years won
Skonto Riga,15,"1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2010"
RFK Riga,8,"1924 , 1925 , 1926 , 1930 , 1931 , 1934 , 1935 , 1940"
Olimpija Liepāja,7,"1927 , 1928 , 1929 , 1933 , 1936 , 1938 , 1939"
Ventspils,6,"2006 , 2007 , 2008 , 2011 , 2013 , 2014"
Liepājas Metalurgs,2,"2005 , 2009"
Kaiserwald Riga,2,"1922 , 1923"
JPFS/Spartaks Jūrmala,2,"2016 , 2017"
Riga FC,2,"2018 , 2019"
FK Liepāja,1,2015
Daugava Daugavpils,1,2012
ASK Riga,1,1932
