Rank,Name,Team,Points
1,Andrey Mizurov ( KAZ ),Cycling Team Capec,213
2,Ryan Cox ( RSA ),Barloworld,190
3,Martin Mareš ( CZE ),eD'system ZVVZ,174
4,Hossein Askari ( IRI ),Giant Asia Racing Team,168.66
5,David McCann ( IRL ),Giant Asia Racing Team,160.66
6,Graeme Brown ( AUS ),Ceramica Panaria-Navigare,156
7,Mehdi Sohrabi ( IRI ),Paykan,155.66
8,Ghader Mizbani ( IRI ),Giant Asia Racing Team,150.66
9,Ahad Kazemi ( IRI ),Giant Asia Racing Team,132.66
10,Sergey Lagutin ( UZB ),Landbouwkrediet-Colnago,120
