Team,Location,Stadium,Capacity
Ayutthaya United,Ayutthaya,Ayutthaya Provincial Stadium,"6,000"
Chainat Hornbill,Chainat,Khao Plong Stadium,"8,625"
Chiangmai,Chiang Mai,Chiangmai Municipality Stadium,"5,000"
Chiangmai United,Chiang Mai,RMUTL ( Doi Saket ) Stadium,"2,500"
Customs United,Samut Prakan,"Customs Department Stadium , Ladkrabang 54","2,000"
Kasetsart,Bangkok,TOT Stadium Chaeng Watthana,"5,000"
Khonkaen,Khon Kaen,Khonkaen PAO . Stadium,"7,000"
Khonkaen United,Khon Kaen,Khonkaen PAO . Stadium,"7,000"
Lampang,Lampang,Lampang Provincial Stadium,"5,500"
Nakhon Pathom United,Nakhon Pathom,Nakhon Pathom Municipality Sport School Stadium,"6,000"
Navy,Chonburi,Sattahip Navy Stadium,"6,000"
Nongbua Pitchaya,Nongbua Lamphu,Nongbua Lamphu Provincial Stadium,"4,333"
Phrae United,Phrae,Thunghong Municipality Stadium,"4,500"
Ranong United,Ranong,Ranong Provincial Stadium,"7,000"
Samut Sakhon,Samut Sakhon,Samut Sakhon Provincial Stadium,"3,500"
Sisaket,Sisaket,Sri Nakhon Lamduan Stadium,"10,000"
Udon Thani,Udon Thani,SAT Stadium Udon Thani,"10,000"
Uthai Thani,Uthai Thani,Uthai Thani Province Stadium,"4,477"
