Title,Publisher,Developer ( s ),Release Date,ESRB
Advance Wars,Nintendo,Intelligent Systems,"April 3 , 2014",E
Mario & Luigi : Superstar Saga,Nintendo,AlphaDream,"April 3 , 2014",E
Metroid Fusion,Nintendo,Nintendo,"April 3 , 2014",E
Kirby & the Amazing Mirror,Nintendo,Nintendo,"April 10 , 2014",E
"WarioWare , Inc. : Mega Microgames !",Nintendo,Nintendo,"April 10 , 2014",E
F-Zero Maximum Velocity,Nintendo,Nintendo,"April 17 , 2014",E
Golden Sun,Nintendo,Camelot Software Planning,"April 17 , 2014",E
Yoshi 's Island : Super Mario Advance 3,Nintendo,Nintendo EAD,"April 24 , 2014",E
Wario Land 4,Nintendo,Nintendo,"May 8 , 2014",E
Klonoa : Empire of Dreams,Bandai Namco Entertainment,Bandai Namco Entertainment,"May 29 , 2014",E
The Legend of Zelda : The Minish Cap,Nintendo,Nintendo,"June 5 , 2014",E
Pac-Man Collection,Bandai Namco Entertainment,Mass Media Games,"June 10 , 2014",E
Mario Tennis : Power Tour,Nintendo,Camelot Software Planning,"July 3 , 2014",E
Mr. Driller 2,Bandai Namco Entertainment,Bandai Namco Entertainment,"July 17 , 2014",E
Mega Man Battle Network,Capcom,Capcom,"July 31 , 2014",E
Mega Man Battle Chip Challenge,Capcom,"Inti Creates , Capcom Production Studio 2","August 14 , 2014",E
Mario Golf : Advance Tour,Nintendo,Camelot Software Planning,"September 25 , 2014",E
Castlevania : Circle of the Moon,Konami,Konami,"October 9 , 2014",T
Castlevania : Harmony of Dissonance,Konami,Konami,"October 16 , 2014",T
Castlevania : Aria of Sorrow,Konami,Konami,"October 23 , 2014",T
