Medal,Name,Sport,Event
Gold,Magnar Solberg,Biathlon,Men 's 20 km
Gold,Pål Tyldum,Cross-country skiing,Men 's 50 km ( classical )
Silver,Pål Tyldum,Cross-country skiing,Men 's 30 km ( classical )
Silver,Magne Myrmo,Cross-country skiing,Men 's 50 km ( classical )
Silver,Oddvar Brå Pål Tyldum Ivar Formo Johs Harviken,Cross-country skiing,Men 's 4 × 10 km relay
Silver,Roar Grønvold,Speed skating,Men 's 1500m
Silver,Roar Grønvold,Speed skating,Men 's 5000m
Bronze,Ivar Formo,Cross-country skiing,Men 's 15 km ( classical )
Bronze,Johs Harviken,Cross-country skiing,Men 's 30 km ( classical )
Bronze,Inger Aufles Aslaug Dahl Berit Mørdre Lammedal,Cross-country skiing,Women 's 3 × 5 km relay
Bronze,Sten Stensen,Speed skating,Men 's 5000m
Bronze,Sten Stensen,Speed skating,"Men 's 10,000m"
