Exit date,Position,Player,To club,Fee
November 2013,Head coach,Abdul Rahman Ibrahim,Terengganu,align=right| 0
November 2013,GK,Razi Effendi Suhit,Perak FA,align=right| 0
November 2013,RB,P. Rajesh,Selangor FA,align=right| 0
November 2013,DC,Ahmad Azlan Zainal,Terengganu,align=right| 0
November 2013,DMC,Reeshafiq Alwi,Sarawak FA,align=right| 0
November 2013,AMRC,Roman Chmelo,PSM Makassar,align=right| 0
November 2013,AMRC,Lot Abu Hassan,Sarawak FA,align=right| 0
November 2013,AMR,Nor Hakim Hassan,Terengganu ( loan ),align=right| 0
November 2013,ST,Mohd Nizad Ayub,T-Team F.C,align=right| 0
November 2013,ST,Nurshamil Abdul Ghani,Harimau Muda B,align=right| 0
January 2014,LB,Zaiful Abdul Hakim,Harimau Muda A,align=right| 0
January 2014,MC,Muhd Hardee Shamsuri,Harimau Muda B,align=right| 0
April 2014,AMRL,Mohd Fazli Baharudin,T-Team F.C,align=right| 0
April 2014,MC,Nazmi Faiz Mansor,Selangor FA,align=right| 0
