Team,Team Based,Stadium,Capacity
ATM,Selayang,Selayang Stadium,"20,000"
Johor Darul Ta'zim,Johor Bahru,Larkin Stadium,"30,000"
Kelantan,Kota Bharu,Sultan Mohammad IV Stadium,"22,000"
LionsXII,Singapore,Jalan Besar Stadium,"8,000"
Pahang,Kuantan,Darul Makmur Stadium,"40,000"
Perak,Ipoh,Perak Stadium,"60,000"
PKNS,Petaling Jaya,MBPJ Stadium,"25,000"
Sarawak,Kuching,Sarawak State Stadium,"26,000"
Selangor,Shah Alam,Shah Alam Stadium,"80,372"
Sime Darby,Kuala Lumpur,Selayang Stadium,"20,000"
T-Team,Kuala Terengganu,Sultan Ismail Nasiruddin Shah Stadium,"15,000"
Terengganu,Kuala Terengganu,Sultan Ismail Nasiruddin Shah Stadium,"15,000"
