Location,State,ICAO,IATA,Air base
Anápolis,Goiás,SBAN,,Anápolis Air Force Base
Belém,Pará,SBBE,BEL,Belém Air Force Base
Boa Vista,Roraima,SBBV,BVB,Boa Vista Air Force Base
Brasília,Federal District,SBBR,BRS,Brasília Air Force Base
Campo Grande,Mato Grosso do Sul,SBCG,CGR,Campo Grande Air Force Base
Canoas,Rio Grande do Sul,SBCO,,Canoas Air Force Base
Florianópolis,Santa Catarina,SBFL,FLN,Florianópolis Air Force Base
Fortaleza,Ceará,SBFZ,FOR,Fortaleza Air Force Base
Guarulhos,São Paulo,SBGR,GRU,São Paulo Air Force Base
Manaus,Amazonas,SBMN,PLL,Manaus Air Force Base
Natal,Rio Grande do Norte,SBNT,NAT,Natal Air Force Base
Porto Velho,Rondônia,SBPV,PVH,Porto Velho Air Force Base
Recife,Pernambuco,SBRF,REC,Recife Air Force Base
Rio de Janeiro,Rio de Janeiro,SBGL,GIG,Galeão Air Force Base
Rio de Janeiro,Rio de Janeiro,SBSC,SNZ,Santa Cruz Air Force Base
Rio de Janeiro,Rio de Janeiro,SBAF,,Afonsos Air Force Base
Salvador,Bahia,SBSV,SSA,Salvador Air Force Base
Santa Maria,Rio Grande do Sul,SBSM,RIA,Santa Maria Air Force Base
Santos,São Paulo,SBST,SSZ,Santos Air Force Base
Novo Progresso,Pará,SBCC,,Brigadeiro Velloso Testing Range Air Base
