No,Name,Nationality,Team,Age,Pos
1,Alberto Contador,Spain,Saxo Bank-SunGard,28,5
2,Jesús Hernández,Spain,Saxo Bank-SunGard,29,92
3,Daniel Navarro,Spain,Saxo Bank-SunGard,27,62
4,Benjamín Noval,Spain,Saxo Bank-SunGard,32,116
5,Richie Porte,Australia,Saxo Bank-SunGard,26,72
6,Chris Anker Sørensen,Denmark,Saxo Bank-SunGard,26,37
7,Nicki Sørensen,Denmark,Saxo Bank-SunGard,36,95
8,Matteo Tosatto,Italy,Saxo Bank-SunGard,37,123
9,Brian Vandborg,Denmark,Saxo Bank-SunGard,29,125
11,Andy Schleck,Luxembourg,Leopard Trek,26,2
12,Fabian Cancellara,Switzerland,Leopard Trek,30,119
13,Jakob Fuglsang,Denmark,Leopard Trek,26,50
14,Linus Gerdemann,Germany,Leopard Trek,28,60
15,Maxime Monfort,Belgium,Leopard Trek,28,29
16,Stuart O'Grady,Australia,Leopard Trek,37,78
17,Joost Posthuma,Netherlands,Leopard Trek,30,108
18,Fränk Schleck,Luxembourg,Leopard Trek,31,3
19,Jens Voigt,Germany,Leopard Trek,39,67
21,Samuel Sánchez,Spain,Euskaltel-Euskadi,33,6
22,Gorka Izagirre,Spain,Euskaltel-Euskadi,23*,66
