Year,Venue,Country,Verne Chapman Lecturer
2015,Yokohama,Japan,Svante Pääbo
2014,Bar Harbor,USA,Bruce Beutler
2013,Salamanca,Spain,Nancy Jenkins
2012,St. Pete Beach,USA,Eva Eicher
2011,"Washington , D.C",USA,William Dove
2010,Heraklion,Greece,Steve D. M. Brown
2009,La Jolla,USA,Christopher Goodnow
2008,Prague,Czech Republic,Philip Avner
2007,Kyoto,Japan,Hiroaki Kitano
2006,Charleston,USA,James Womack
2005,Strasbourg,France,Yoshihide Hayashizaki
2004,Seattle,USA,Richard Palmiter
2003,Braunschweig,Germany,Kenneth Paigen
2002,San Antonio,USA,Miriam Meisler
2001,Edinburgh,UK,Jean-Louis Guenet
2000,Narita,Japan,Mary F. Lyon
1999,Philadelphia,USA,Janet Rossant
1998,Garmisch-Partenkirchen,Germany,Oliver Smithies
1997,St. Pete Beach,USA,Harold Varmus
1996,Paris,France,n/a
