Airfield,Army post/facility served,Location,ICAO
Coleman Army Airfield,Mannheim,Germany,ETOR
Desiderio Army Airfield,Camp Humphreys,Korea,RKSG
Grafenwöhr Army Airfield,,Germany,ETIC
Hohenfels Army Airfield,USAG Hohenfels,Germany,ETIH
Illesheim Army Airfield,Storck Barracks,Germany,ETIK
Kastner Army Airfield,Camp Zama,Japan,RJTR
Katterbach Army Airfield,Ansbach,Germany,ETEB
Patton Army Airfield,Camp Arifjan,Kuwait,
Stuttgart Army Airfield,,Germany,EDDS
Udairi Army Airfield,Camp Buehring,Kuwait,OKDI
Wiesbaden Army Airfield,,Germany,ETOU
