Title,Year,Series,Format,ISBN,Notes
Ender 's Game,1985,Ender 's Game,Novel,".mw-parser-output cite.citation { font-style : inherit } .mw-parser-output .citation q { quotes : \\ '' } .mw-parser-output .id-lock-free a , .mw-parser-output .citation .cs1-lock-free a { background : url ( //upload.wikimedia.org/wikipedia/commons/thumb/6/65/Lock-green.svg/9px-Lock-green.svg.png ) no-repeat ; background-position : right .1em center } .mw-parser-output .id-lock-limited a , .mw-parser-output .id-lock-registration a , .mw-parser-output .citation .cs1-lock-limited a , .mw-parser-output .citation .cs1-lock-registration a { background : url ( //upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Lock-gray-alt-2.svg/9px-Lock-gray-alt-2.svg.png ) no-repeat ; background-position : right .1em center } .mw-parser-output .id-lock-subscription a , .mw-parser-output .citation .cs1-lock-subscription a { background : url ( //upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Lock-red-alt-2.svg/9px-Lock-red-alt-2.svg.png ) no-repeat ; background-position : right .1em center } .mw-parser-output .cs1-subscription , .mw-parser-output .cs1-registration { color : # 555 } .mw-parser-output .cs1-subscription span , .mw-parser-output .cs1-registration span { border-bottom:1px dotted ; cursor : help } .mw-parser-output .cs1-ws-icon a { background : url ( //upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Wikisource-logo.svg/12px-Wikisource-logo.svg.png ) no-repeat ; background-position : right .1em center } .mw-parser-output code.cs1-code { color : inherit ; background : inherit ; border : inherit ; padding : inherit } .mw-parser-output .cs1-hidden-error { display : none ; font-size:100% } .mw-parser-output .cs1-visible-error { font-size:100% } .mw-parser-output .cs1-maint { display : none ; color : # 33aa33 ; margin-left:0.3em } .mw-parser-output .cs1-subscription , .mw-parser-output .cs1-registration , .mw-parser-output .cs1-format { font-size:95% } .mw-parser-output .cs1-kern-left , .mw-parser-output .cs1-kern-wl-left { padding-left:0.2em } .mw-parser-output .cs1-kern-right , .mw-parser-output .cs1-kern-wl-right { padding-right:0.2em } 0-312-93208-1","Hugo Award winner , Locus Award SF nominee , 1986 ; Nebula Award winner , 1985"
Speaker for the Dead,1986,Ender 's Game,Novel,0-312-93738-5,"Hugo , and Locus SF Award winner , Campbell Award nominee , 1987 ; Nebula Award winner , 1986"
Ender 's War,1991,Ender 's Game,Collection,,Omnibus of Ender 's Game and Speaker for the Dead
Gloriously Bright,1991,Ender 's Game,Short Story,,"Gloriously Bright was published in the January 1991 issue of Analog Science Fiction and Fact . Gloriously Bright is reprinted as parts of Chapters 1 , 3 , 5 , 7 , 9 , and 11 of Xenocide . It also includes about 20 paragraphs recounting Jane 's story from Speaker for the Dead that are not republished anywhere else"
Xenocide,1991,Ender 's Game,Novel,0-312-85056-5,"Hugo and Locus SF Awards nominee , 1992"
Children of the Mind,1996,Ender 's Game,Novel,0-312-85395-5,
Ender 's Shadow,1999,Shadow saga,Novel,0-312-86860-X,"Parallel novel to Ender 's Game . Locus SF Award nominee , 2000"
Shadow of the Hegemon,2001,Shadow saga,Novel,0-312-87651-3,"Locus SF nominee , 2002"
Shadow Puppets,2002,Shadow saga,Novel,0-765-30017-6,
First Meetings,2002,Ender 's Game,Collection,0-765-30873-8,Short story collection
Shadow of the Giant,2005,Shadow saga,Novel,0-312-85758-6,
Mazer in Prison,2005,Ender 's Game,Short story,,Published online
Pretty Boy,2006,Ender 's Game,Short story,,Published online
Cheater,2006,Ender 's Game,Short story,,Published online
A Young Man with Prospects,2007,Ender 's Game,Short story,,Published online . Incorporated into Ender in Exile as chapter 5
The Gold Bug,2007,Ender 's Game,Short story,,Published online
Ender 's Stocking,2007,Ender 's Game,Short story,,"Published online . The beginning of this story , but not the whole story , is included as chapter 2 in A War of Gifts : An Ender Story"
A War of Gifts : An Ender Story,2007,Ender 's Game,Novel,978-0-7653-1282-2,
Ender 's Homecoming,2008,Ender 's Game,Short story,,Published online . Included in Ender in Exile
Ender in Flight,2008,Ender 's Game,Short story,,Published online
