Date,Language,Language family,Region
20th-21st century ( ? ),Ayabadhu,Pama-Nyungan,"Queensland , Australia"
20th-21st century ( ? ),Aghu Tharnggala,Pama-Nyungan,"Queensland , Australia"
20th-21st century ( ? ),Adithinngithigh,Pama-Nyungan,"Queensland , Australia"
20th-21st century ( ? ),Arritinngithigh,Pama-Nyungan,"Queensland , Australia"
20th-21st century ( ? ),Gurnai,Pama-Nyungan,"Victoria , Australia"
late 20th century ( ? ),Nganyaywana,Pama-Nyungan,Australia
late 20th century,Newfoundland Irish,Celtic,"Newfoundland , Canada"
ca . 2000,Mesmes,Semitic,Ethiopia
2000,Sowa,Malayo-Polynesian,"Pentecost Island , Vanuatu"
late 1990s,Munichi,unclassified,"Loreto Region , Peru"
1999,Nyulnyul,Pama-Nyungan,Australia
by 1999,Ineseño,Chumashan,"California , United States"
1998,Mlahsô,Semitic,Syria ; Turkey
by 1998,Skepi Creole Dutch,Dutch-based creole,Guyana
1997-98,Ngarnka,Pama-Nyungan,Australia
January 1997,Sireniki Yupik,Eskimo-Aleut,"Chukotka Peninsula , Russia"
ca . 1996 ( ? ),Malaryan,Dravidian,"Kerala and Tamil Nadu , India"
1996,Iowa-Oto,Siouan,"Oklahoma and Kansas , United States"
by 1996,Katabaga,Malayo-Polynesian,The Philippines
by 1996,Palumata,Austronesian,"Maluku , Indonesia"
