Year,Original title,English title,Director
2000,101 Reykjavík,101 Reykjavík,Baltasar Kormákur
2000,Englar alheimsins,Angels of the Universe,Friðrik Þór Friðriksson
2000,Ikíngut,Ikíngut,Gísli Snær Erlingsson
2000,Íslenski draumurinn,The Icelandic Dream,Róbert I. Douglas
2000,Dancer in the Dark,Dancer in the Dark,Lars von Trier
2000,Myrkrahöfðinginn,Witchcraft,Hrafn Gunnlaugsson
2000,Óskabörn þjóðarinnar,Óskabörn þjóðarinnar,Jóhann Sigmarsson
2001,Gæsapartí,Gæsapartí,Böðvar Bjarki Pétursson
2001,Lalli Johns,Lalli Johns documentary,Þorfinnur Guðnason
2001,Mávahlátur,The Seagull 's Laughter,Ágúst Guðmundsson
2001*,No Such Thing,No Such Thing,Hal Hartley 2001
2001,Málarinn og sálmurinn hans um litinn,Málarinn og sálmurinn hans um litinn documentary,Erlendur Sveinsson
2001,Villiljós,Dramarama,Dagur Kári Inga Lísa Middleton Ragnar Bragason Ásgrímur Sverrisson Einar Thor
2002,Fálkar,Falcons,Friðrik Þór Friðriksson
2002,Gemsar,Cell,Mikael Torfason
2002,Hafið,The Sea,Baltasar Kormákur
2002,Í faðmi hafsins,Í faðmi hafsins,Lýður Árnason Jóakim Reynisson
2002,Í skóm drekans,In the Shoes of the Dragon documentary,Hrönn Sveinsdóttir Árni Sveinsson
2002,Leitin að Rajeev,Leitin að Rajeev documentary,Birta Fróðadóttir Rúnar Rúnarsson
2002,Maður eins og ég,A Man Like Me,Róbert I. Douglas
