Municipality,Population ( 2011 ),Area,Main settlement,Parishes
Funchal,"111,892",75.7 km ( 29.2 sq mi ),Funchal,10
Santa Cruz,"43,005",68.0 km ( 26.3 sq mi ),Santa Cruz,5
Câmara de Lobos,"35,666",52.6 km ( 20.3 sq mi ),Câmara de Lobos,5
Machico,"21,828",67.6 km ( 26.1 sq mi ),Machico,5
Ribeira Brava,"13,375",64.9 km ( 25.1 sq mi ),Ribeira Brava,4
Calheta,"11,521",110.3 km ( 42.6 sq mi ),Calheta,8
Ponta do Sol,"8,862",46.8 km ( 18.1 sq mi ),Ponta do Sol,3
Santana,"7,719",93.1 km ( 35.9 sq mi ),Santana,6
São Vicente,"5,723",80.8 km ( 31.2 sq mi ),São Vicente,3
Porto Santo,"5,483",42.4 km ( 16.4 sq mi ),Vila Baleira,1
Porto Moniz,"2,711",82.6 km ( 31.9 sq mi ),Porto Moniz,4
