Date,Co-hosts,Guests/segments
October 3,Regis Philbin & Kelly Ripa,"Bill O'Reilly , Faith Ford"
October 4,Regis Philbin & Kelly Ripa,"Julianne Moore , Brooke Shields , Air Supply"
October 5,Regis Philbin & Kelly Ripa,"Freddie Prinze Jr. , Clint Black , Top of the Year Awards"
October 6,Regis Philbin & Kelly Ripa,"Matthew McConaughey , Shannon Elizabeth , So You Think You Can Dance winner"
October 7,Regis Philbin & Kelly Ripa,Common
October 10,Regis Philbin & Kelly Ripa,"Denis Leary , George Huff"
October 11,Regis Philbin & Kelly Ripa,"Orlando Bloom , Gloria Estefan"
October 12,Regis Philbin & Kelly Ripa,Kirsten Dunst
October 13,Regis Philbin & Kelly Ripa,"Charlize Theron , Rev Run"
October 14,Regis Philbin & Kelly Ripa,Dylan Walsh
October 17,Regis Philbin & Kelly Ripa,"Dakota Fanning , Simply Red , Project Schulewis"
October 18,Regis Philbin & Kelly Ripa,"Stevie Wonder , Ashlee Simpson , Project Schulewis"
October 19,Regis Philbin & Kelly Ripa,"Woody Harrelson , Sumo Wrestlers , Project Schulewis"
October 20,Regis Philbin & Kelly Ripa,"Dwayne Johnson , Ricky Martin , Amerie , Project Schulewis"
October 21,Regis Philbin & Kelly Ripa,"Val Kilmer , Melissa Etheridge , Project Schulewis"
October 24,Regis Philbin & Kelly Ripa,"William Shatner , Frankie J"
October 25,Regis Philbin & Kelly Ripa,"Uma Thurman , Tom Joyner"
October 26,Regis Philbin & Kelly Ripa,"Antonio Banderas , Zach Braff"
October 27,Regis Philbin & Kelly Ripa,"Nicolas Cage , Courtney Thorne-Smith , Animal expert Peter Gros"
October 28,Regis Philbin & Kelly Ripa,"Jay Leno , a Halloween fashion show"
