Place,Driver/Co-driver,Nationality,Car
2,Nasser Saleh Al-Attiyah/Mathieu Baumel,Qatar / France,MINI ALL4 Racing
4,Mikko Hirvonen/Michel Périn,Finland / France,MINI ALL4 Racing
6,Nani Roma/Alex Haro,Spain / Spain,MINI ALL4 Racing
5,Harry Hunt/Andreas Schulz,United Kingdom / Germany,MINI ALL4 Racing
12,Orlando Terranova/Ronnie Graue,Argentina / Argentina,MINI ALL4 Racing
13,Erik van Loon/Wouter Rosegaar,Netherlands / Netherlands,MINI ALL4 Racing
15,Jakub Przygonski/Andrei Rudnitski,Poland / Belarus,MINI ALL4 Racing
23,Boris Garafulic/Filipe Palmeiro,Chile / Portugal,MINI ALL4 Racing
43,Nazareno Lopez/Sergio Lafuente,Argentina / Uruguay,MINI ALL4 Racing
52,Adam Malysz/Xavier Panseri,Poland / France,MINI ALL4 Racing
