Name of Town,State,Type,Population ( 2011 )
Uchgaon,Maharashtra,C.T,"31,238"
Udaipur,Tripura,M.Cl,"32,758"
Udaipurwati,Rajasthan,M,"29,236"
Udhagamandalam,Tamil Nadu,M,"88,430"
Udhampur,Jammu and Kashmir,UA,"35,507"
Udumalaipettai,Tamil Nadu,M,"61,133"
Ujhani,Uttar Pradesh,N.P.P,"62,039"
Umarga,Maharashtra,M.Cl,"35,477"
Umaria,Madhya Pradesh,M,"33,114"
Umarkhed,Maharashtra,M.Cl,"47,458"
Umbergaon,Gujarat,M,"27,859"
Umred,Maharashtra,M.Cl,"53,971"
Umreth,Gujarat,M,"33,762"
Una,Gujarat,M,"58,528"
Unjha,Gujarat,M,"57,108"
Unnamalaikadai,Tamil Nadu,T.P,"23,656"
Upleta,Gujarat,M,"58,775"
Uran,Maharashtra,M.Cl,"30,439"
Uran Islampur,Maharashtra,M.Cl,"67,391"
Uravakonda,Andhra Pradesh,C.T,"35,565"
