Location,Date,Sculptor
Blackburn Blackburn Cathedral,1905,Sir Bertram Mackennal
Carlisle Bitts Park,1902,Thomas Brock
Chester Forecourt of Chester Castle,1903,Frederick William Pomeroy
Queen Victoria Memorial Lancaster Dalton Square,1906,Herbert Hampton
Liverpool St. George 's Hall,1870,Thomas Thornycroft
Victoria Monument Liverpool Derby Square,1906,C. J. Allen
Manchester Piccadilly Gardens,1901,Edward Onslow Ford
Statue of Queen Victoria St Helens Victoria Square,1905,Sir George Frampton
Salford Peel Park,1857,
Southport Neville Street,,Sir George Frampton
