Year,Horse,Trainer,Owner
2018,Game Winner,Bob Baffert,Gary and Mary West
2017,Good Magic,Chad Brown,e Five Racing Thoroughbreds and Stonestreet Stables
2016,Classic Empire,Mark Casse,John C. Oxley
2015,Nyquist,Doug O'Neill,Reddam Racing
2014,American Pharoah,Bob Baffert,Ahmed Zayat
2013,Shared Belief,Jerry Hollendorfer,"Jungle Racing , Kmn Racing et al"
2012,Shanghai Bobby,Todd Pletcher,Starlight Racing
2011,Hansen,Mike Maker,K. Hansen/Sky Chai Racing
2010,Uncle Mo,Todd Pletcher,Mike Repole
2009,Lookin at Lucky,Bob Baffert,Mike Pegram /Karl Watson/Paul Weitman
2008,Midshipman,Bob Baffert,Godolphin Racing
2007,War Pass,Nicholas P. Zito,Robert V. LaPenta
2006,Street Sense,Carl Nafzger,James B. Tafel
2005,Stevie Wonderboy,Douglas F. O'Neill,Merv Griffin
2004,Declan 's Moon,Ronald W. Ellis,Jay Em Ess Stables
2003,Action This Day,Richard E. Mandella,B. Wayne Hughes
2002,Vindication,Bob Baffert,Padua Stables
2001,Johannesburg,Aidan O'Brien,Michael Tabor & Sue Magnier
2000,Macho Uno,Joe Orseno,Stronach Stables
1999,Anees,Alex L. Hassinger Jr,The Thoroughbred Corp
