Club,Head Coach,City,Stadium,2008 season
Busan I'Park,Hwang Sun-Hong,Busan,Busan Asiad Stadium,12th in League
Chunnam Dragons,Park Hang-Seo,Gwangyang,Gwang-Yang Stadium,9th in League
Daegu FC,Byun Byung-Joo,Daegu,Daegu Stadium,11th in League
Daejeon Citizen,Kim Ho,Daejeon,Daejeon World Cup Stadium,13th in League
FC Seoul,Şenol Güneş,Seoul,Seoul World Cup Stadium,"2nd in League , 2nd in Playoff"
Gangwon FC,Choi Soon-Ho,Gangneung Chuncheon,Gangneung Stadium Chuncheon Stadium,-
Gwangju Sangmu,Lee Kang-Jo,Gwangju,Gwangju World Cup Stadium,14th in League
Gyeongnam FC,Cho Kwang-Rae,Changwon,Changwon Civil Stadium,8th in League
Incheon United,Ilija Petković,Incheon,Incheon Munhak Stadium,7th in League
Jeju United,Arthur Bernardes,Seogwipo,Jeju World Cup Stadium,10th in League
Jeonbuk Hyundai Motors,Choi Kang-Hee,Jeonju,Jeonju World Cup Stadium,"6th in League , 4th in Playoff"
Pohang Steelers,Sérgio Farias,Pohang,Steelyard Stadium,"5th in League , 6th in Playoff"
Seongnam Ilhwa Chunma,Shin Tae-Yong,Seongnam,Seongnam 2 Stadium,"3rd in League , 5th in Playoff"
Suwon Samsung Bluewings,Cha Bum-Kun,Suwon,Suwon World Cup Stadium,"1st in League , 1st in Playoff"
Ulsan Hyundai,Kim Ho-Gon,Ulsan,Munsu Cup Stadium,"4th in League , 3rd in Playoff"
