Year,Title,Role,Notes
1992,Seinfeld,Ricky Ross,The Cheever Letters
1993,seaQuest DSV,Dr. Joshua Levin,4 episodes
1993,Married ... with Children,Bartender,No Ma'am
1994,Diagnosis : Murder,Benjamin Strand,Guardian Angel
1994,The George Carlin Show,Bearded Man,George Lifts the Holy Spirit
1994,Days of Our Lives,T. J,
1995,Medicine Ball,Dr. Patrick Yates,Wizard of Bras
1995,Strange Luck,Steve Medavoy,Trial Period
1996,Mr. & Mrs. Smith,Craig Thompson,The Space Flight Episode
1997,Dark Skies,Jerry Rubin,Both Sides Now
1997,Relativity,Therapist,Karen and Her Sisters
1997,Jenny,Griffin,A Girl 's Got ta Get Ready for Her Close-up
1997,Fired Up,Scott,4 episodes
1998,Frasier,Director,Good Grief
1998,Legacy,LLoyd Cobb,"Emma , The Search Party"
1999,Jack & Jill,Travis Cutler,4 episodes
1999-2000,Xena : Warrior Princess,Eli,6 episodes
2000,Early Edition,Antoine Gourmand,The Play 's the Thing
2000,V.I.P,Chick Mars,"Lights , Camera , Val"
2000,Kiss Tomorrow Goodbye,Silvio,TV movie
