Year,Drivers,Team,Car,Laps,Distance,Fastest Lap
2020,Khaled Al Qubaisi Ben Barker Jeroen Bleekemolen Hubert Haupt Manuel Metzger,Black Falcon,Mercedes-AMG GT3,168,905.52,1:59.430
2019,Rik Breukers Christopher Haase Dimitri Parhofer Frédéric Vervisch,Car Collection Motorsport,Audi R8 LMS Evo,607,3271.73,1:58.695
2018,Abdulaziz Al Faisal Yelmer Buurman Hubert Haupt Gabriele Piana,Black Falcon,Mercedes-AMG GT3,606,3266.34,1:59.394
2017,Daniel Allemann Ralf Bohn Brendon Hartley Alfred Renauer Robert Renauer,Herberth Motorsport,Porsche 991 GT3 R,578,3115.42,1:59.198
2016,Alain Ferté Stuart Leonard Michael Meadows Laurens Vanthoor,Belgian Audi Club Team WRT,Audi R8 LMS,588,3169.32,1:58.712
2015,Abdulaziz Al Faisal Yelmer Buurman Hubert Haupt Oliver Webb,Black Falcon 2,Mercedes-Benz SLS AMG GT3,604,3255.56,1:59.545
2014,Adrian Amstutz Christian Engelhart Mark Ineichen Rolf Ineichen Marcel Matter,Stadler Motorsport,Porsche 997 GT3-R,603,3250.17,1:59.537
2013,Khaled Al Qubaisi Jeroen Bleekemolen Sean Edwards Bernd Schneider,Abu Dhabi by Black Falcon,Mercedes-Benz SLS AMG GT3,600,3234.00,1:59.472
2012,Khaled Al Qubaisi Jeroen Bleekemolen Sean Edwards Thomas Jäger,Abu Dhabi by Black Falcon,Mercedes-Benz SLS AMG GT3,628,3384.92,2:01.921
2011,Augusto Farfus Claudia Hürtgen Tommy Milner Edward Sandström,Need for Speed by Schubert Motorsport,BMW Z4 GT3,594,3201.66,2:04.858
2010,Marco Holzer Raymond Narac Patrick Pilet,IMSA Performance Matmut,Porsche 997 GT3-RSR,608,3277.12,2:03.348
2009,Gabriël Abergel Andrzej Dzikevic Niclas Kentenich Carsten Tilke,Land Motorsport,Porsche 997 GT3 Cup,573,3088.47,2:02.524
2008,Craig Baird Klark Quinn Tony Quinn Jonathon Webb,VIP Pet Foods,Porsche 997 GT3-RSR,504,2716.56,2:03.334
2007,Jamie Campbell-Walter Philipp Peter Dieter Quester Dirk Werner,Duller Motorsport,BMW Z4 Coupe,567,3056.13,2:04.435
2006,Philipp Peter Dieter Quester Hans-Joachim Stuck Toto Wolff,Duller Motorsport,BMW M3 CSL,519,2797.41,2:10.057
