Name,Location,Area ( km ),Wetland Type ( s ) *,Other Des,Description
Area between the Pura River & Mokoritto River,Taymyria 72°32′N 85°30′E / 72.533°N 85.500°E / 72.533 ; 85.500 ( Pura River ) Borders ( PP ),"11,250","Vt , Tp , O , Ts , M , N ( PDF )",IBA,"Hilly plains with diverse network of streams , rivers and lakes distinguish this area from surrounding flat tundra in the central Russian Arctic , in Taymyr Autonomous Okrug . Overlaps the Purinsky Zakaznik . Supports the vulnerable Red-breasted Goose . RAMSAR map ( pdf )"
Beryozovye Islands,Leningrad Oblast 60°19′48″N 28°33′36″E / 60.33000°N 28.56000°E / 60.33000 ; 28.56000 ( Beryozovye Islands ) Borders ( IBA ),120,"G , A , D ( PDF )",IBA,"Birch Islands , on the north coast of the Gulf of Finland of the Baltic Sea , on the southeast of Vyborg Bay . 300,000 to 500,000 birds migrate through in the spring - gulls , ducks , geese and swans . Indented shores with many inlets . Ramsar wetland type classifications : G , A , D . ( PDF )"
Brekhovsky Islands,Taymyr Autonomous Okrug 70°30′N 82°45′E / 70.500°N 82.750°E / 70.500 ; 82.750 ( Brekhovsky Islands in the Yenisei delta ) Borders ( PP ),"14,000","L , Ts , U , W , O , M ( PDF )",IBA,Brekhovsky Islands in the Yenisei estuary ; wetlands and tundra in northern Siberia . Habitat for whitefish ( Coregonus ) and the endangered Siberian sturgeon ( Acipenser baerii )
Chany Lake,Novosibirsk Oblast 55°2′N 77°40′E / 55.033°N 77.667°E / 55.033 ; 77.667 ( Chany Lakes ) Borders ( PP ),"3,648","Q , O , R , Tp , M ( PDF )",,"Chany Lake area is a network of Lacustrine plain wetlands characteristic of West Siberian forest-steppe . Enclosed fresh water systems , 100 km north of Kazakhstan border . Mire , meadows , reedbeds , forest-steppe floral communities"
Gorbita River Delta,Taymyria 73°00′00″N 94°55′00″E / 73.00000°N 94.91667°E / 73.00000 ; 94.91667 ( Gorbita River Delta ) Borders ( IBA ),750,"Vt , Tp , O , Ts , M , N ( PDF )",IBA,"Lower valley of the Gorbita River , and adjacent mire complex . Important breeding ground for geese on the Taymyr Peninsula"
Islands in Ob River Estuary,Yamalo-Nenetsia 66°40′N 70°58′E / 66.667°N 70.967°E / 66.667 ; 70.967 ( Islands in Ob River ) Borders ( PP ),"1,280",F ( PDF ),,"Large floodplain islands where the Ob River opens to Ob Gulf ; the Kara Sea is still 500 km to the north . 40% of the islands surfaces are covered with temporary bodies of water ( sors ) . Breeding birds with a density of 500 to 2,000 birds per 10 km2 . One of the world 's richest habitats for whitefish"
"Islands in Onega Bay , White Sea",Karelia 64°56′N 35°10′E / 64.933°N 35.167°E / 64.933 ; 35.167 ( Islands in Onega Bay ) Borders ( PP ),36,"A , D , E , U , Xp ( PDF )",IBA,"Kuzov Islands at the mouth of Onega Bay , the southernmost bay of the White Sea , 150 km west of Arkhangelsk . The islands are rocky and of glacial origin , covered in dward forests with stunted pine-birch communities , crowberry , moss and lichen . Supports rare plant and bird species , including the near-threatened Razorbill ( Alca torda ) , and the Black guillemot ( Cepphus grylle )"
Kama - Bakaldino Mires,Nizhny Novgorod Oblast 56°24′N 45°20′E / 56.400°N 45.333°E / 56.400 ; 45.333 ( Kama-Bakaldino Mires ) Borders ( PP ),"2,265","U , Xp , O ( PDF )",,"Located just north of the Volga River as it flows east , 100 km east of Nizhny-Novgorod . The largest peatland south of the northern European taiga zone . Bogs , fens , raised mires , streams and other wetlands intermixed with stands of pine , birch , and aspen . Important stopover sight for migrating birds"
Kandalaksha Bay,Murmansk Oblast 66°46′0″N 33°8′0″E / 66.76667°N 33.13333°E / 66.76667 ; 33.13333 ( Kandalaksha Bay ) Borders ( PP ),"2,080","A , B , G , D , H ( PDF )",IBA,"The northwestern bay of the White Sea , Kandalaksha divides the Kola peninsula from Karelia . Over 850 rocky islands dot the shallow waters , whose rich benthic ( sediment-dwelling ) sealife support large flocks of migratory waterfowl . Much of the upper bay is protected by the Kandalaksha Nature Reserve , which was formed in 1932 to protect the Sea duck"
Karaginsky Island,Kamchatka Krai 58°47′N 163°52′E / 58.783°N 163.867°E / 58.783 ; 163.867 ( Karaginsky Island ) Borders ( PP ),"1,936","A , D , F , G , E , M , O ( PDF )",IBA,"Karaginsky is a 2,404 km2 island located 40 km east of the northeast coast of the Kamchatka peninsula in the western Bering Sea . The island is covered with elfin forests ( stunted birch and dwarf pine ) , meadows , and low-bush alpine tundra . The numerous bays and inlets support large populations of diving ducks , gulls , terns , and cormorants ; the island is on an important migration route for sea birds"
Khingano-Arkharinskaya Lowland,Amur Oblast 49°10′N 130°0′E / 49.167°N 130.000°E / 49.167 ; 130.000 ( Khingano ) Borders ( PP ),"2,000","Ts , Tp , O , M ( PDF )",IBA,"A wet forest-steppe ( prairie ) ecosystem along the Amur River on the Russian/Chinese border in the Russian Far East , between the Bureya River and the Khingan River . The landscape is an extensive floodplain , with streams , oxbow lakes , marshes , and other wetlands . Grass meadows and reed-beds are extensive , supporting aquatic wildlife that attracts migratory waterfowl ( ducks , geese ) . A large portion is protected by the Khingan Nature Reserve"
