Name,Licence area,Analogue frequencies,Notes
Abbey104,Sherborne,104.7 FM,On Air : 16 February 2013
ABC-FM,Portadown,100.2 FM,On Air : June 2015
Academy FM ( Folkestone ),Folkestone,105.9 FM,On Air : 31 March 2011
Academy FM ( Thanet ),Thanet,107.8 FM,On Air : 5 April 2010
Access FM,Bridgwater,104.2 FM,On Air : 9 June 2013
AHBS Community Radio,Ashford in Kent,107.1 FM,On Air : 19 May 2011
AIR 107.2,Weymouth and Portland,107.2 FM,On Air : 11 May 2013
Alive Radio,Dumfries,107.3 FM,On Air : 1 September 2009
Akash Radio,Leeds,1323 AM,On Air : August 2015
ALL FM,"South , Central and East Manchester",96.9 FM,On Air : 22 May 2002
Amber Sound FM,"Amber Valley , Derbyshire",107.2 FM,On Air : 17 September 2008
Ambur Radio,Walsall,103.6 FM,On Air : 1 August 2009
Andover Radio,Andover,95.9 FM,On Air : 22 April 2018
Angel Radio ( Portsmouth ),Portsmouth,89.3 FM Also on DAB in South Hampshire,On Air : February 2002 ( formerly 101.1 FM in Havant )
Angel Radio ( Isle of Wight ),"Newport , Isle of Wight",91.5 FM,On Air : 24 March 2007
Apple FM,"Taunton , Somerset",97.3 FM,On Air : 11 May 2013
Radio Asian Fever,Leeds,107.3 FM,On Air : 1 March 2007
Asian Star,Slough,101.6 FM,On Air : April 2007
Awaz FM,Glasgow,107.2 FM,On Air : 29 April 2002
Awaaz FM,Southampton,99.8 FM,On Air : August 2017
