Year,Onze d'Or,Onze d'Argent,Onze de Bronze
1976,Robert Rensenbrink,Kevin Keegan,Dominique Rocheteau
1977,Kevin Keegan,Michel Platini,Allan Simonsen
1978,Mario Kempes,Johann Krankl,Robert Rensenbrink
1979,Kevin Keegan ( 2 ),Trevor Francis,Robert Rensenbrink ( 2 )
1980,Karl-Heinz Rummenigge,Kevin Keegan ( 2 ),Horst Hrubesch
1981,Karl-Heinz Rummenigge ( 2 ),Paul Breitner,Jan Ceulemans
1982,Paolo Rossi,Alain Giresse,Falcão
1983,Michel Platini,Falcão,Karl-Heinz Rummenigge
1984,Michel Platini ( 2 ),Jean Tigana,Preben Elkjær Larsen
1985,Michel Platini ( 3 ),Preben Elkjær Larsen,Diego Maradona
1986,Diego Maradona,Manuel Amoros,Gary Lineker
1987,Diego Maradona ( 2 ),Marco van Basten,Jean Tigana
1988,Marco van Basten,Ruud Gullit,Diego Maradona ( 2 )
1989,Marco van Basten ( 2 ),Ruud Gullit ( 2 ),Jean-Pierre Papin
1990,Lothar Matthäus,Salvatore Schillaci,Jean-Pierre Papin ( 2 )
1991,Jean-Pierre Papin,Chris Waddle,Lothar Matthäus
1992,Hristo Stoichkov,Marco van Basten ( 2 ),Jean-Pierre Papin ( 3 )
1993,Roberto Baggio,Alen Bokšić,Romário
1994,Romário,Hristo Stoichkov,Roberto Baggio
1995,George Weah,Roberto Baggio,Paolo Maldini
