Year,Anchor,Show,Channel
2001,Rajat Sharma,Aap Ki Adalat,Zee TV
2002,Barkha Dutt,Reality Bites,NDTV
2003,Rajdeep Sardesai,The Big Fight,NDTV
2004,Rajdeep Sardesai,X-Factor/Election Watch,NDTV
2005,Barkha Dutt,We the People,NDTV 24x7
2006,Sreenivasan Jain,Witness,NDTV
2007,Cyrus Broacha,The Week That Was n't,CNN-News18
2008,Rajdeep Sardesai,Weekend Edition with Rajdeep Sardesai,CNN-News18
2009,Prabhu Chawla,Seedhi Baat,Aaj Tak
2010,Rajdeep Sardesai,Ground Zero Bhopal,CNN-News18
2011,Rajdeep Sardesai,Indian at 9 & Election Counting Day Coverage,CNN-News18
2012,Rajdeep Sardesai,Ground Zero,CNN-News18
2013,Rahul Kanwal,Centrestage - Inside Lanka 's museum of horrors,
2014,Anjana Om Kashyap,Rail Budget,Aaj Tak
2017,Rajdeep Sardesai,5 state Polls Day verdict,CNN-News18
2018,Anjana Om Kashyap,,Aaj Tak
2019,Rahul Kanwal,,India Today
