Year,Serial,Role,Co-Star,Channel
2002,Jai Santoshi Maa,Santoshi Maa,,Zee TV
2002,Ssshhhh ... Koi Hai - Rang Barse,Sunehri ( Episode 36 ),,Star Plus
2002,Har Mod Par,Hansa,Ravi Kishan / Buddhaditya Mohanty,Sahara One
2002 - 2003,Kammal,Kammal Manav Jajoo,Sandeep Baswana,Zee TV
2003,Vikraal Aur Gabraal - Rang Barse,Sunehri ( Episode 13 ),,Star Plus
2004,Aakrosh,,Sharad Kelkar,DD National
2004,Raat Hone Ko Hai - Bargad,Naina ( Episode 57 - Episode 60 ),,Sahara One
2004,Raat Hone Ko Hai - Obit Column,Kartika ( Episode 125 - Episode 128 ),,Sahara One
2004 - 2006,Kahiin To Hoga,Kanan Sinha,,Star Plus
2005,Aahat,Deepti,,Sony TV
2005,Hotel Kingston,,,Star One
2005 - 2006,India Calling,Manisha Kapoor / Mini,,Star One
2005 - 2007,Sinndoor Tere Naam Ka,Niharika Agarwal / Niharika Rudra Raizada,Pracheen Chauhan / Anand Suryavanshi / Sharad Kelkar / Sachin Sharma,Zee TV
2006,Nach Baliye 2,Contestant,Sharad Kelkar,Star One
2006,Jeena Isi Ka Naam Hai,Guest ( Episode 4 ),Sharad Kelkar,Zee TV
2006,Jeena Isi Ka Naam Hai,Guest ( Episode 7 ),Sharad Kelkar,Zee TV
2006 - 2007,Saat Phere - Saloni Ka Safar,Chandni Nahar Singh / Devika Nahar Singh ( Double Role ),Sharad Kelkar / Akshay Anand / Sachin Sharma,Zee TV
2007 - 2008,Solhah Singaarr,Meera Bharadwaj ( After Plastic Surgery ) / Advocate Meera Karan Kapoor Sonia Shakti Chaturvedi ( Actress ) / Fake Shagun Sumer Chaturvedi Sheela ( Bar Dancer ) ( Triple Role ),Ali Hassan / Faisal Raza Khan / Sachin Tyagi,Sahara One
2008,Saas v/s Bahu,Contestant,,Sahara One
2008 - 2010,Choti Bahu - Sindoor Bin Suhagan,Mrinalini Vivek Purohit,Rajiv Kumar / Raj Logani,Zee TV
