#,Name,Municipalities,Inhabitants,Capital
1,Comunità territoriale della Val di Fiemme,11,"18,567",Cavalese
2,Comunità di Primiero,8,"9,836",Tonadico
3,Comunità Valsugana e Tesino,21,"25,694",Borgo Valsugana
4,Comunità Alta Valsugana e Bersntol,18,"45,228",Pergine Valsugana
5,Comunità della Valle di Cembra,11,"10,854",Altavalle
6,Comunità della Val di Non,38,"37,143",Cles
7,Comunità della Valle di Sole,14,"15,020",Malè
8,Comunità delle Giudicarie,39,"35,647",Tione di Trento
9,Comunità Alto Garda e Ledro,7,"42,955",Riva del Garda
10,Comunità della Vallagarina,17,"78,482",Rovereto
11,Comun General de Fascia,7,"9,195",Sèn Jan di Fassa
12,Magnifica Comunità degli Altipiani Cimbri,3,"4,442",Lavarone
13,Comunità Rotaliana-Königsberg,8,"25,953",Mezzocorona
14,Comunità della Paganella,5,"4,731",Andalo
15,Val d'Adige territory,4,"110,061",none
16,Comunità della Valle dei Laghi,6,"9,349",Vezzano
