Name,City,Industry
ACTS Retirement-Life Communities,"West Point , PA",healthcare
Aria Health,"Philadelphia , PA",healthcare
Children 's Hospital of Philadelphia,"Philadelphia , PA",healthcare
Cooper Health,"Camden , NJ",healthcare
Crozer-Keystone Health System,"Springfield , PA",healthcare
Elwyn,"Elwyn , PA",healthcare
Friends Hospital,"Philadelphia , PA",healthcare
Drexel University,"Philadelphia , PA",education
Immaculata University,"Malvern , PA",education
Independence Blue Cross,"Philadelphia , PA",insurance
La Salle University,"Philadelphia , PA",education
Lourdes Health System,"Camden , NJ",healthcare
Monell Chemical Senses Center,"Philadelphia , PA",research
Peirce College,"Philadelphia , PA",education
Pennsylvania Academy of Fine Arts,"Philadelphia , PA",education
Philadelphia Aids Thrift,"Philadelphia , PA",
Saint Joseph 's University,"Philadelphia , PA",education
Temple University,"Philadelphia , PA",education
Thomas Jefferson University,"Philadelphia , PA",education
University of Pennsylvania,"Philadelphia , PA",education
