Season,Event type,Location,Format,Date,Rank
1998-99,Pro Tour,Chicago,Limited,25-27 September 1998,1
1998-99,Grand Prix,Amsterdam,Limited,15-16 May 1999,2
1998-99,European Championship,Berlin,Special,5-7 July 1999,2
1999-00,Pro Tour,Chicago,Extended,3-5 December 1999,6
1999-00,Invitational,Kuala Lumpur,Special,2-5 March 2000,8
2000-01,Masters,New York City,Extended,28 September-1 October 2000,5
2001-02,Pro Tour,New York City,Team Limited,7-9 September 2001,1
2001-02,Grand Prix,Antwerp,Limited,2-3 March 2002,8
2001-02,Masters,Osaka,Team Limited,14-17 March 2002,1
2002-03,Pro Tour,Boston,Team Limited,27-29 September 2002,1
2002-03,Grand Prix,Copenhagen,Limited,12-13 October 2002,5
2002-03,Masters,Venice,Team Limited,20-23 March 2003,5
2003-04,Nationals,Mainz,Special,30 May-1 June 2003,1
2003-04,Pro Tour,Boston,Team Limited,12-14 September 2003,4
2003-04,Invitational,Los Angeles,Special,11-13 May 2004,7
