No,Position,Player,Nation
14,Midfielder,Joseph Kabwe,Zimbabwe
24,Goalkeeper,Eric Reed,United States
13,Midfielder,Matt Gold,United States
15,Midfielder,Cuitlahuac Meza,United States
25,Goalkeeper,Brock Duckworth,United States
16,Midfielder,Drew Yates,United States
21,Defender,Shaun Francis,Jamaica
19,Midfielder,Will Prado,United States
4,Defender,Brady Bryant,United States
29,Defender,Nick Courtney,United States
28,Midfielder,Samuel Asante,Ghana
26,Goalkeeper,Alonso Jimenez,Mexico
12,Midfielder,Juan Guzman,United States
10,Midfielder,Jorge Herrera,Colombia
17,Forward,Christian Ramirez,United States
