Club,Country,Number won,Year ( s ) won
Barcelona,Spain,5,"1992 , 2006 , 2009 * , 2011 , 2015 *"
Real Madrid,Spain,3,"1957 , 1958 , 2017"
Ajax,Netherlands,3,"1972* , 1973 , 1995"
Bayern Munich,Germany,3,"1974 , 2001 , 2013 *"
Internazionale,Italy,2,"1965 , 2010 *"
Liverpool,England,2,"1977 , 1984"
Manchester United,England,2,"1999 * , 2008"
Benfica,Portugal,1,1961
Celtic,Scotland,1,1967 *
Hamburger SV,Germany,1,1983
Steaua București,Romania,1,1986
PSV,Netherlands,1,1988 *
Red Star Belgrade,Serbia,1,1991
Milan,Italy,1,1994
Porto,Portugal,1,2004
