Club,Location,Stadium,Turf,Capacity,2017-18 position
FC Fredericia,Fredericia,Monjasa Park,Natural,"4,000",6th
FC Helsingør,Helsingør,Helsingør Stadion,Natural,"4,500","Superliga , 14th"
FC Roskilde,Roskilde,Roskilde Idrætspark,Natural,"6,000",10th
BK Fremad Amager,Copenhagen,Sundby Idrætspark,Artificial,"7,200",9th
HB Køge,Herfølge / Køge,"Capelli Sport Stadion ( Herfølge , until 2018 ) Capelli Sport Stadion ( Køge , from 2019 )",Natural Artificial,"8,000 4,000",5th
Hvidovre IF,Hvidovre,Kæmpernes Arena,Natural,"12,000","2D , 1st"
Lyngby BK,Kongens Lyngby,Lyngby Stadion,Natural,"8,000","Superliga , 12th"
Nykøbing FC,Nykøbing Falster,CM Arena,Natural,"10,000",7th
Næstved BK,Næstved,ProfaGroupPark,Natural,"7,500","2D , 2nd"
Silkeborg IF,Silkeborg,JYSK Park,Artificial,"10,000","Superliga , 13th"
Thisted FC,Thisted,Sparekassen Thy Arena,Natural,"3,000",8th
Viborg FF,Viborg,Energi Viborg Arena,Natural,"9,566",4th
