Year,Title,Role
1989,Glory,Cpl . Thomas Searles
1993,Striking Distance,District Attorney Frank Morris
1996,Primal Fear,Tommy Goodman
1996,Get on the Bus,Flip
1998,Thick as Thieves,Dink
1998,City of Angels,Cassiel
1999,It 's the Rage,Tim
2000,A Better Way to Die,Cleveland
2000,Frequency,Satch DeLeon
2000,Duets,Reggie Kane
2006,Poseidon,Captain Bradford
2007,Fantastic Four : Rise of the Silver Surfer,General Hager
2007,The Mist,Brent Norton
2008,Passengers,Perry
2009,Live !,Don
2010,Superman/Batman : Apocalypse,Darkseid ( voice )
2010,Salt,Secretary of Defense
2012,The Baytown Outlaws,Millard
2014,The Gambler,Dean Fuller
