Hospital name,City,County
Central Georgia Rehabilitation Hospital,Macon,Bibb
Columbus Specialty Hospital,Columbus,Muscogee
DeKalb Medical Long Term Acute Care,Decatur,DeKalb
Kindred Hospital Atlanta,Atlanta,Fulton
Landmark Hospital of Athens,Athens,Clarke
Regency Hospital of Central Georgia,Macon,Bibb
Regency Hospital of South Atlanta,East Point,Fulton
Roosevelt Warm Springs Institute for Rehabilitation,Warm Springs,Meriwether
Select Specialty Hospital Atlanta,Atlanta,Fulton
Select Specialty Hospital Augusta,Augusta,Richmond
Select Specialty Hospital Savannah,Savannah,Chatham
Shepherd Center,Atlanta,Fulton
Southern Crescent Hospital for Specialty Care,Riverdale,Clayton
Triumph the Specialty Hospital Rome,Rome,Floyd
Walton Rehabilitation Hospital,Augusta,Richmond
WellStar Windy Hill Hospital,Marietta,Cobb
Wesley Woods Geriatric Hospital,Atlanta,Dekalb
