Weeks,Artist,Album,Year
58,Gloria Estefan,Mi Tierra,1993-94
46,Ozuna,Odisea,2017-18
44,Bad Bunny,X 100pre,2019-20
44,Selena,Dreaming of You,1995-97
29,Luis Miguel,Segundo Romance,1994-95
26,Ricky Martin,Vuelve,1998-99
25,Daddy Yankee,Barrio Fino,2004-05
23,Aventura,The Last,2009-10
20,Selena,Amor Prohibido,1994-95
20,Juan Gabriel,"Los Dúo , Vol . 2",2016-17
19,Christina Aguilera,Mi Reflejo,2000-01
17,Shakira,Fijación Oral Vol . 1,2005
17,Romeo Santos,"Formula , Vol . 1",2011
17,Ozuna,Aura,2018
16,Enrique Iglesias,Sex and Love,2014
15,Enrique Iglesias,Vivir,1997
14,Marc Anthony,Libre,2001-02
14,Daddy Yankee,Barrio Fino en Directo,2005-06
13,Marc Anthony,Desde un Principio : From the Beginning,2000-01
12,Alejandro Fernández,Me Estoy Enamorando,1997-98
