No,Name,Net worth ( USD ),Age,Nationality,Source ( s ) of wealth
1,Bill Gates,$ 76.0 billion,58,United States,Microsoft
2,Carlos Slim & family,$ 72.0 billion,74,Mexico,"América Móvil , Grupo Carso"
3,Amancio Ortega,$ 64.0 billion,77,Spain,Inditex
4,Warren Buffett,$ 58.2 billion,83,United States,Berkshire Hathaway
5,Larry Ellison,$ 48.0 billion,70,United States,Oracle Corporation
6,Charles Koch,$ 40.0 billion,78,United States,Koch Industries
6,David Koch,$ 40.0 billion,73,United States,Koch Industries
8,Sheldon Adelson,$ 38.0 billion,80,United States,Las Vegas Sands
9,Christy Walton & family,$ 36.7 billion,65,United States,Walmart
10,Jim Walton,$ 34.7 billion,65,United States,Walmart
