2020 Rank,Club,Revenue ( € million ),Country,2019 Rank,Change
1,Barcelona,840.8,Spain,2,+1
2,Real Madrid,757.3,Spain,1,-1
3,Manchester United,711.5,England,3,-
4,Bayern Munich,660.1,Germany,4,-
5,Paris Saint - Germain,635.9,France,6,+1
6,Manchester City,610.6,England,5,-1
7,Liverpool,604.7,England,7,-
8,Tottenham Hotspur,521.1,England,10,+2
9,Chelsea,513.1,England,8,-1
10,Juventus,459.7,Italy,10,+1
11,Arsenal,445.6,England,9,-2
12,Borussia Dortmund,377.1,Germany,12,-
13,Atlético Madrid,367.6,Spain,13,-
14,Internazionale,364.6,Italy,14,-
15,Schalke 04,324.8,Germany,16,+1
16,Roma,231.0,Italy,15,-1
17,Lyon,220.8,France,28,+11
18,West Ham United,216.4,England,20,+2
19,Everton,213.0,England,17,-2
20,Napoli,207.4,Italy,21,+1
