Borough,Population 30 September 2010,Area in km²,Largest Non-German ethnic groups
Mitte,"332,100",39.47,"Turks , Arabs , Kurds , many Asians , Africans and Western Europeans"
Friedrichshain-Kreuzberg,"268,831",20.16,"Turks , Arabs , African , Kurds , Chinese"
Pankow,"368,956",103.01,"Poles , Italians , French , Americans , Vietnamese , British"
Charlottenburg-Wilmersdorf,"320,014",64.72,"Turks , Africans , Russians , Arabs , others"
Spandau,"225,420",91.91,"Turks , Africans , Russians , Arabs , others"
Steglitz-Zehlendorf,"293,989",102.50,"Poles , Turks , Croats , Serbs , Koreans"
Tempelhof-Schöneberg,"335,060",53.09,"Turks , Croats , Serbs , Koreans , Africans"
Neukölln,"310,283",44.93,"Arabs , Turks , Kurds , Russians , Africans , Poles"
Treptow-Köpenick,"241,335",168.42,"Russians , Poles , Ukrainians , Vietnamese"
Marzahn-Hellersdorf,"248,264",61.74,"Russians , Vietnamese , several other Eastern Europeans"
Lichtenberg,"259,881",52.29,"Vietnamese , Russians , Ukrainians , Poles , Chinese"
Reinickendorf,"240,454",89.46,"Turks , Poles , Serbs , Croats , Arabs , Italians"
Total Berlin,"3,450,889",891.82,"Turks , Arabs , Russians , Vietnamese , Poles , Africans"
