Name,Park,Type,Manufacturer,Closed
Cactus Coaster,United States Elitch Gardens,Family roller coaster,Allan Herschell Company,October 28
Disaster Transport,United States Cedar Point,Bobsled roller coaster,Intamin,July 29
Flashback,United States Six Flags Over Texas,Boomerang,Vekoma,September 3
Hurricane,United States Santa Cruz Beach Boardwalk,Hurricane,S.D.C,September 3
Pandemonium,United States Six Flags Discovery Kingdom,Spinning roller coaster,Gerstlauer,January 1
Adventure Golf,United States Valleyfair,Mini Golf,Unknown,Unknown
Avalanche,Australia Dreamworld,Matterhorn,Bertazzon Rides,July 15
Catapult,United States Six Flags New England,Sky Swat,S & S Worldwide,October 28
Congo River,United States Holiday World & Splashin ' Safari,Lazy River,Unknown,Unknown
DreamWorks Holiday Shrektacular,Australia Dreamworld,Live show,Unknown,January 27
ElecTRONica,United States Disney California Adventure,Nighttime show,Walt Disney Imagineering,April 15
Glow in the Park Parade,United States Six Flags Great America,Parade,N/A,Unknown
Inferis,Italy Gardaland,Horror House,Unknown,January 6
Jaws,United States Universal Studios Florida,Water ride,MCA Planning and Development,January 2
Journey to the Center of the Earth 4-D Adventure,Australia Warner Bros. Movie World,4D film,Iwerks Entertainment,June 4
KidZville,United States Kings Dominion,Themed area,N/A,October
Perilous Plunge,United States Knott 's Berry Farm,Shoot the Chute,Intamin,September 3
Raging Seas,United States Darien Lake,Seesturmbahn,Mack Rides,Unknown
Roller Soaker,United States Hersheypark,Suspended roller coaster,Setpoint,September 3
Rowdys Ridge,United States Darien Lake,3 rides,,
