Year,Film,Language,Cast,Director
1995,Yaraana,Hindi ( India ),"Rishi Kapoor , Madhuri Dixit , Raj Babbar",David Dhawan
1996,Agni Sakshi,Hindi ( India ),"Jackie Shroff , Nana Patekar , Manisha Koirala",Partho Ghosh
1996,Daraar,Hindi ( India ),"Rishi Kapoor , Juhi Chawla , Arbaaz Khan",Abbas-Mustan
1997,Pelli,Telugu ( India ),"Naveen , Maheswari , Prudhvi Raj",Kodi Ramakrishna
1997,Maduve,Kannada ( India ),"Ramesh Aravind , Charulatha , Kumar Govind",V. Umakanth
1997,Khilona,Urdu,"Meera , Saud",Sangeeta
1997,Sagorika,Bangla ( Bangladesh/India ),"Amin Khan , Helal Khan & Rituparna",Badol Khandakar
,Ranga Bou,Bangla ( Bangladesh/India ),"Amin Khan , Humayan Faridi & Rituparna",Delowar
1998,Aval Varuvala,Tamil ( India ),"Ajith Kumar , Simran",Raj Kapoor
2002,Koi Mere Dil Se Poochhe,Hindi ( India ),"Aftab Shivdasani , Esha Deol , Sanjay Kapoor",Vinay Shukla
2008,Mu Sapanara Soudagar,Odiya ( India ),"Arindam Roy , Archita Sahu , Sabyasachi Mishra",Sanjay Nayak
2012,Luchakali,Odiya ( India ),"Babushan , Samaresh Routray & Shreya",Susant Mani
2013,Loobat Al Mawt ( series ) ar : لعبة الموت,"Lebanese , Syrian & Egyptian","Cyrine Abdelnour , ar : عابد فهد , ar : ماجد المصري","Laith Hajo , Samer Barqawi"
2017,Til Death Do Us Part,English,"Annie Ilonzeh , Stephen Bishop , Taye Diggs",Chris Stokes
