Year,Choreographer,Film
1988,Mugur Sundar,Agni Natchathiram
1989,D. K. S. Babu,"Karagattakaran , Uthama Purushan"
1990,Mugur Sundar,Anjali
1991,D. K. S. Babu,Chinna Thambi
1992,Raghuram,Thevar Magan
1993,Mugur Sundar,Gentleman
1994,Raju Sundaram,Kadhalan
1995,B. H. Tharun Kumar,Muthu
1996,K. Sivasankar,Poove Unakkaga
1997,Lalitha-Mani,Pistha
1998,Raju Sundaram,Jeans
1999,Lawrence Raghavendra,Kannupada Poguthaiya
2000,Brinda,Mugavaree
2001,Chinni Prakash,Thavasi
2002,Dinesh,King
2003,Ashok Raja,Thirumalai
2004,K. Sivasankar,Vishwa Thulasi
2005,Kala,Chandramukhi
2006,K. Sivasankar,Varalaaru
2007,Brinda,Deepavali
