Rank,Language,Speakers ( millions ),% of the World population ( March 2019 ),Language family Branch
1,Mandarin Chinese,918,11.922,Sino-Tibetan Sinitic
2,Spanish,480,5.994,Indo-European Romance
3,English,379,4.922,Indo-European Germanic
4,Hindi ( Sanskritised Hindustani ),341,4.429,Indo-European Indo-Aryan
5,Bengali,228,2.961,Indo-European Indo-Aryan
6,Portuguese,221,2.870,Indo-European Romance
7,Russian,154,2.000,Indo-European Balto-Slavic
8,Japanese,128,1.662,Japonic Japanese
9,Western Punjabi,92.7,1.204,Indo-European Indo-Aryan
10,Marathi,83.1,1.079,Indo-European Indo-Aryan
11,Telugu,82.0,1.065,Dravidian South-Central
12,Wu Chinese,81.4,1.057,Sino-Tibetan Sinitic
13,Turkish,79.4,1.031,Turkic Oghuz
14,Korean,77.3,1.004,Koreanic language isolate
15,French,77.2,1.003,Indo-European Romance
16,German,76.1,0.988,Indo-European Germanic
17,Vietnamese,76.0,0.987,Austroasiatic Vietic
18,Tamil,75.0,0.974,Dravidian South
19,Yue Chinese,73.1,0.949,Sino-Tibetan Sinitic
20,Urdu ( Persianised Hindustani ),68.6,0.891,Indo-European Indo-Aryan
