Date,Name,Nationality,Moving from,Moving to,Fee
2010-08-01,Ilario Lamberti,Italy,Bari,Valenzana,Loan
2 August 2010,Sergio Contessa,Italy,Nardò,Novara,Undisclosed
2010-08-02,Marco Petrassi,Italy,Padova,Gela,Loan
2010-08-02,Marco Piccinni,Italy,Bari,Lucchese,Loan
2010-08-02,Michele Sansotta,Italy,Chievo,Sangiovannese,"Co-ownership , €500"
2010-08-02,Loris Pagnotta,Italy,Prato,AlbinoLeffe,Undisclosed
2010-08-02,Marco Pisano,Italy,Torino,Parma,Undisclosed
2010-08-02,"Mohamed Traoré ( footballer , born 1991 )",Guinea,Parma,South Tyrol,Loan
2010-08-02,Jaime Romero,Spain,Udinese,Bari,Loan
2010-08-02,Samuel Di Carmine,Italy,Fiorentina,Frosinone,"Co-ownership , €500"
2010-08-02,Adaílton,Brazil,Bologna,Vaslui,Free
2010-08-03,Jordan Pedrocchi,Italy,Milan,Chievo,"Co-ownership , peppercorn fee"
2010-08-03,Paolo Cotroneo,Italy,Padova,Taranto,Free
2010-08-03,Diego Simões,Brazil,Padova,Carpi,Loan
2010-08-03,Andrea Raimondi,Italy,Padova,Juve Stabia,Loan
3 August 2010,Salvatore D'Elia,Italy,Juventus,Portogruaro,"Loan , Free"
3 August 2010,Andrea Pisani,Italy,Juventus,Portogruaro,"Loan , Free"
2010-08-03,Enrico Cotza,Italy,Cagliari,Villacidrese,"Co-ownership , Undisclosed"
2010-08-03,Miguel Veloso,Portugal,Sporting,Genoa,€9M + Bonus
2010-08-03,Alberto Zapater,Spain,Genoa,Sporting,€2M
