Season,Team,Points,Playoff Result
1996-97,Philadelphia Phantoms,111,Lost Division Final ( HER )
1995-96,Albany River Rats,115,Lost Division Semi-Final ( COR )
1994-95,Albany River Rats,109,Won Calder Cup
1993-94,St. John 's Maple Leafs,102,Lost Division Final ( MON )
1992-93,Binghamton Rangers,124,Lost Division Final ( RCH )
1991-92,Fredericton Canadiens,96,Lost Division Semi-Final ( MON )
1990-91,Rochester Americans,99,Lost Calder Cup Final ( SPR )
1989-90,Sherbrooke Canadiens,102,Lost Division Final ( SPR )
1988-89,Sherbrooke Canadiens,103,Lost Division Semi-Final ( NHN )
1987-88,Hershey Bears,105,Won Calder Cup
1986-87,Sherbrooke Canadiens,102,Lost Calder Cup Final ( RCH )
1985-86,Hershey Bears,99,Lost Calder Cup Final ( ARW )
1984-85,Binghamton Whalers,112,Lost Division Final ( BAL )
1983-84,Baltimore Skipjacks,102,Lost Division Final ( RCH )
1982-83,Rochester Americans,101,Won Calder Cup
1981-82,New Brunswick Hawks,107,Won Calder Cup
1980-81,Hershey Bears,103,Lost Division Final ( ARW )
1979-80,New Haven Nighthawks,101,Lost Division Final ( HER )
1978-79,Maine Mariners,103,Won Calder Cup
1977-78,Maine Mariners,95,Won Calder Cup
