Medal,Name,Sport,Event,Date
Gold,Ilham Zakiyev,Judo,Men +100 kg,9 September
Gold,Olokhan Musayev,Athletics,Men 's Shot Put - F55/56,15 September
Silver,Tofig Mammadov,Judo,Men -90 kg,9 September
Silver,Karim Sardarov,Judo,Men -100 kg,9 September
Silver,Zeynidin Bilalov,Athletics,Men 's triple jump - F11,12 September
Bronze,Ramin Ibrahimov,Judo,Men -60 kg,7 September
Bronze,Vladimir Zayets,Athletics,Men 's triple jump - F12,8 September
Bronze,Oleg Panyutin,Athletics,Men 's long jump - F12,13 September
Bronze,Rza Osmanov,Athletics,Men 's 400m - T12,13 September
Bronze,Vugar Mehdiyev,Athletics,Men 's 200m - T13,16 September
