Date,Co-Hosts,Guests/Segments
December 1,Regis Philbin & Kelly Ripa,"Nick Lachey , Jessica Biel"
December 2,Regis Philbin & Kelly Ripa,"Noah Wyle , Jimmy Buffett , Frank Pellegrino"
December 3,Regis Philbin & Kelly Ripa,"Ryan Reynolds , Phil Keoghan , Shawn Colvin"
December 6,Regis Philbin & Kelly Ripa,"Kyra Sedgwick , Ludacris , Leo Laporte"
December 7,Regis Philbin & Kelly Ripa,"Tom Cavanagh , Barenaked Ladies"
December 8,Regis Philbin & Kelly Ripa,"Anna Paquin , Diana DeGarmo"
December 9,Regis Philbin & Kelly Ripa,"Jimmy Carter , Lindsay Lohan"
December 10,Regis Philbin & Kelly Ripa,Clint Black
December 13,Regis Philbin & Kelly Ripa,"Kate Bosworth , Jason Bateman , Jadakiss"
December 14,Regis Philbin & Kelly Ripa,"Jim Carrey , Sarah McLachlan , Joy Philbin"
December 15,Regis Philbin & Kelly Ripa,"Kevin Spacey , Téa Leoni , Ashanti"
December 16,Regis Philbin & Kelly Ripa,"Cate Blanchett , Donald Trump , Avril Lavigne"
December 17,Regis Philbin & Kelly Ripa,"Adam Sandler , Mario , winner of America 's Next Top Model"
December 20,Regis Philbin & Kelly Ripa,"Willem Dafoe , Katie Brown , winner of The Apprentice"
December 21,Regis Philbin & Kelly Ripa,Kenan Thompson
December 22,Regis Philbin & Alicia Keys,"Dennis Quaid , Rachael Ray"
December 23,Regis Philbin & Kelly Ripa,"John Travolta , Missy Elliott , Lenny Kravitz"
December 24,Regis Philbin & Kelly Ripa,Christmas Eve Pyjama Party
